grid_index,geometry,dhl,dpd,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,city,buildings_binary,shops_binary,parks_binary,schools_binary,railways_binary,cycleways_binary,totlog,tot_0_14log,tot_15_64log,tot_65__log,tot_malelog,tot_femlog,male_0_14log,male_15_64log,male_65__log,fem_0_14log,fem_15_64log,fem_65__log
206436,"POLYGON ((20.85176726655831 52.18687052666358, 20.83728318008206 52.1882049396601, 20.83945985541567 52.19707701680372, 20.85394674013865 52.19574229917577, 20.85176726655831 52.18687052666358))",0.0,0.0,0.0,1.0,0.0,1.0,4841,696,3586,559,2339,2502,365,1739,235,331,1847,324,106.96879008,4,0.0,1.0,2.0,4.0,2.0,8.0,11.0,19.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,more_railways,more_cycleways,8.485083137498004,6.546785410760524,8.185071477532283,6.327936783729195,7.757906208351747,7.8252452914317745,5.902633333401366,7.461640392208575,5.4638318050256105,5.805134968916488,7.521859252201629,5.783825182329737
206464,"POLYGON ((20.87799146666601 52.29332742783289, 20.86347370445494 52.29466550882132, 20.86566320398351 52.30353679427472, 20.88018378103267 52.3021984073102, 20.87799146666601 52.29332742783289))",0.0,0.0,0.0,0.0,0.0,0.0,137,19,98,20,61,76,10,46,5,9,52,15,124.59016393,3,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,Warszawa,more_buildings,few_shops,few_parks,more_schools,few_railways,few_cycleways,4.927253685157205,2.995732273553991,4.59511985013459,3.044522437723423,4.127134385045092,4.343805421853684,2.3978952727983707,3.8501476017100584,1.791759469228055,2.302585092994046,3.970291913552122,2.772588722239781
206476,"POLYGON ((20.85394674013865 52.19574229917577, 20.83945985541567 52.19707701680372, 20.84163759451845 52.20594902779099, 20.85612728028819 52.20461400442348, 20.85394674013865 52.19574229917577))",0.0,0.0,0.0,0.0,0.0,0.0,269,38,199,32,124,145,23,89,12,15,110,20,116.93548387,14,0.0,0.0,0.0,0.0,8.0,0.0,2.0,4.0,Warszawa,more_buildings,few_shops,few_parks,few_schools,more_railways,few_cycleways,5.598421958998375,3.6635616461296463,5.298317366548036,3.4965075614664802,4.8283137373023015,4.983606621708336,3.1780538303479458,4.499809670330265,2.5649493574615367,2.772588722239781,4.709530201312334,3.044522437723423
206492,"POLYGON ((20.88018378103267 52.3021984073102, 20.86566320398351 52.30353679427472, 20.8678537766864 52.31240801390733, 20.88237716995884 52.31106932077907, 20.88018378103267 52.3021984073102))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206505,"POLYGON ((20.87580022757719 52.28445638326996, 20.86128527874422 52.28579415667235, 20.86347370445494 52.29466550882132, 20.87799146666601 52.29332742783289, 20.87580022757719 52.28445638326996))",0.0,0.0,0.0,1.0,0.0,0.0,386,63,276,47,180,206,26,137,17,37,139,30,114.44444444,0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,1.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,more_cycleways,5.958424693029782,4.1588830833596715,5.6240175061873385,3.871201010907891,5.198497031265826,5.332718793265369,3.295836866004329,4.927253685157205,2.8903717578961645,3.6375861597263857,4.941642422609304,3.4339872044851463
206602,"POLYGON ((20.88237716995884 52.31106932077907, 20.8678537766864 52.31240801390733, 20.87004542334874 52.32127916767192, 20.8845716342306 52.31994016819216, 20.88237716995884 52.31106932077907))",0.0,0.0,1.0,0.0,0.0,0.0,86,11,62,13,41,45,7,28,6,4,34,7,109.75609756,0,0.0,0.0,11.0,0.0,0.0,2.0,3.0,9.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,more_cycleways,4.465908118654584,2.4849066497880004,4.143134726391533,2.6390573296152584,3.7376696182833684,3.828641396489095,2.0794415416798357,3.367295829986474,1.9459101490553132,1.6094379124341003,3.5553480614894135,2.0794415416798357
206819,"POLYGON ((20.86704599459008 52.24897154273242, 20.85254228709842 52.25030809213487, 20.85472642961727 52.25917970693052, 20.86923294499641 52.25784285158997, 20.86704599459008 52.24897154273242))",1.0,0.0,1.0,1.0,0.0,0.0,1164,228,852,84,564,600,120,404,40,108,448,44,106.38297872,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,few_railways,few_cycleways,7.060476365999801,5.43372200355424,6.748759547491679,4.442651256490317,6.336825731146441,6.398594934535208,4.795790545596741,6.003887067106539,3.713572066704308,4.6913478822291435,6.1070228877422545,3.8066624897703196
207002,"POLYGON ((20.85612728028819 52.20461400442348, 20.84163759451845 52.20594902779099, 20.84381639963015 52.2148209725523, 20.85830888639662 52.21348564418059, 20.85612728028819 52.20461400442348))",0.0,0.0,0.0,0.0,0.0,0.0,96,13,65,18,42,54,7,28,7,6,37,11,128.57142857,0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,few_cycleways,4.574710978503383,2.6390573296152584,4.189654742026425,2.9444389791664403,3.7612001156935624,4.007333185232471,2.0794415416798357,3.367295829986474,2.0794415416798357,1.9459101490553132,3.6375861597263857,2.4849066497880004
207028,"POLYGON ((20.88812139418488 52.27424603349116, 20.87361006143941 52.27558527189428, 20.87580022757719 52.28445638326996, 20.89031437167662 52.28311683782704, 20.88812139418488 52.27424603349116))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,few_cycleways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207040,"POLYGON ((20.87280057384098 52.21214854808392, 20.85830888639662 52.21348564418059, 20.86049156070564 52.22235721837721, 20.87498605131241 52.22101981652778, 20.87280057384098 52.21214854808392))",0.0,0.0,0.0,0.0,0.0,0.0,101,13,72,16,54,47,10,36,8,3,36,8,87.03703703,1,0.0,0.0,5.0,0.0,0.0,7.0,2.0,22.0,Warszawa,more_buildings,few_shops,few_parks,few_schools,few_railways,more_cycleways,4.624972813284271,2.6390573296152584,4.290459441148391,2.833213344056216,4.007333185232471,3.871201010907891,2.3978952727983707,3.6109179126442243,2.1972245773362196,1.3862943611198906,3.6109179126442243,2.1972245773362196
