buffer_index,operator,point_id,center,buffer,inpost_points,poczta_points,dhl_points,ruch_points,dpd_points,ups_points,fedex_points,TOT,TOT_0_14,TOT_15_64,TOT_65__,TOT_MALE,TOT_FEM,MALE_0_14,MALE_15_64,MALE_65__,FEM_0_14,FEM_15_64,FEM_65__,FEM_RATIO,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops,shops_binary,parks_binary,TOTlog,TOT_0_14log,TOT_15_64log,TOT_65__log,TOT_MALElog,TOT_FEMlog,MALE_0_14log,MALE_15_64log,MALE_65__log,FEM_0_14log,FEM_15_64log,FEM_65__log
2707,inpost,18329,POINT (21.0303 52.3169),"POLYGON ((21.03765588883248 52.31689977156337, 21.03759559187787 52.31747478876742, 21.03741549686607 52.31804037149328, 21.03711855661142 52.31858723235144, 21.03670964311113 52.319106391046, 21.03619546779286 52.31958932188672, 21.03558447150443 52.32002809385391, 21.03488668603949 52.32041550091104, 21.03411356946483 52.3207451804202, 21.03327781794991 52.3210117177096, 21.03239315719046 52.32121073507021, 21.03147411685762 52.32133896371451, 21.03053579178789 52.32139429751054, 21.02959359385021 52.32137582760524, 21.02866299858266 52.32128385736568, 21.02775929077875 52.32111989739175, 21.02689731322066 52.32088664068268, 21.02609122270435 52.3205879183669, 21.02535425737942 52.32022863672574, 21.02469851923739 52.31981469654934, 21.02413477532928 52.31935289615456, 21.0236722809809 52.31885081966315, 21.02331862790803 52.31831671238103, 21.02307961971956 52.31775934533043, 21.02295917684268 52.31718787116495, 21.02295927241647 52.31661167383725, 21.02307990018944 52.3160402144912, 21.02331907492838 52.31548287611012, 21.02367286531201 52.31494880947231, 21.02413545874988 52.31444678294146, 21.02469925704476 52.31398503855556, 21.02535500131338 52.3135711567728, 21.02609192410397 52.3132119320905, 21.02689792620719 52.31291326157309, 21.02775977525658 52.31268004811376, 21.02866332286197 52.31251612001198, 21.02959373671979 52.31242416818219, 21.03053574390261 52.31240570202011, 21.03147388134966 52.31246102464795, 21.03239274946446 52.31258922794318, 21.03327726467534 52.31278820743191, 21.03411290683154 52.31305469680384, 21.03488595739051 52.31338432148425, 21.03558372450088 52.3137716703877, 21.03619475129645 52.31421038468013, 21.03670900398808 52.31469326209753, 21.03711803666695 52.31521237511463, 21.03741513010989 52.31575920102898, 21.03759540229959 52.31632476183037, 21.03765588883248 52.31689977156337))",2,0.0,0.0,0.0,1.0,1.0,0.0,491.75,116.25,343.5,32.0,240.25,251.5,59.0,165.0,16.25,57.25,178.5,15.75,103.4930947075,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,12.0,0.0,few_shops,few_parks,6.200204868111448,4.765160922297032,5.842384324093829,3.4995332823830174,5.486248162106502,5.531807209916391,4.096009841541162,5.112590016619249,2.8535925063928684,4.066459358732565,5.190732155868099,2.8243506567983707
2709,inpost,11784,POINT (20.99999 52.31708),"POLYGON ((21.00734591875068 52.31707977156189, 21.00728562155145 52.31765478876597, 21.00710552580774 52.31822037149189, 21.00680858434585 52.31876723235017, 21.0063996691828 52.31928639104487, 21.0058854917735 52.31976932188578, 21.0052744930001 52.32020809385315, 21.00457670469704 52.32059550091047, 21.0038035849777 52.32092518041981, 21.00296783006322 52.32119171770935, 21.00208316570516 52.3213907350701, 21.0011641216338 52.32151896371447, 21.00022579274707 52.32157429751054, 20.99928359097661 52.32155582760522, 20.99835299192351 52.32146385736561, 20.99744928044348 52.32129989739158, 20.9965872993791 52.32106664068236, 20.99578120558394 52.32076791836641, 20.99504423726145 52.32040863672508, 20.99438849645239 52.3199946965485, 20.99382475025157 52.31953289615352, 20.99336225402244 52.31903081966195, 20.99300859951161 52.31849671237971, 20.99276959035159 52.31793934532902, 20.99264914698543 52.31736787116348, 20.99264924256023 52.31679167383578, 20.99276987082443 52.31622021448977, 20.9930090465367 52.31566287610878, 20.99336283835972 52.3151288094711, 20.99382543367939 52.31462678294043, 20.99438923426755 52.3141650385547, 20.99504498120326 52.31375115677213, 20.99578190699096 52.31339193209002, 20.99658791237211 52.31309326157278, 20.99744976492644 52.31286004811358, 20.99835331620625 52.31269612001191, 20.9992837338477 52.31260416818218, 21.00022574486128 52.31258570202012, 21.00116388612335 52.31264102464792, 21.00208275797486 52.31276922794306, 21.00296727678282 52.31296820743167, 21.00380292233742 52.31323469680344, 21.00457597604036 52.31356432148368, 21.00527374598866 52.31395167038693, 21.00588477526952 52.31439038467917, 21.006399030053 52.31487326209641, 21.00680806439589 52.31539237511335, 21.00710515904768 52.31593920102761, 21.00728543197117 52.31650476182892, 21.00734591875068 52.31707977156189))",1,1.0,3.0,0.0,1.0,0.0,0.0,199.5,21.0,138.75,39.75,92.25,106.75,10.75,69.75,12.25,10.25,68.5,28.0,103.5763080225,0.0,0.0,0.0,14.0,1.0,29.0,1.0,3.0,35.0,0.0,few_shops,few_parks,5.301312875527835,3.095577608523707,4.940570419647969,3.709906821306012,4.536355869987732,4.680741372835166,2.47232786758114,4.260564966136689,2.5915163848462583,2.4292177439274116,4.242764567340374,3.370738174177447
2711,inpost,9471,POINT (21.0302805409061 52.3174329976903),"POLYGON ((21.03763651833026 52.31743276924928, 21.03757622065128 52.31800778645341, 21.03739612347219 52.31857336917947, 21.03709917964276 52.31912023003797, 21.03669026121881 52.31963938873296, 21.03617607970874 52.3201223195742, 21.03556507606199 52.32056109154194, 21.03486728219299 52.32094849859964, 21.03409415630656 52.32127817810934, 21.0332583947251 52.32154471539919, 21.03237372330971 52.32174373276015, 21.03145467190662 52.3218719614047, 21.03051633553424 52.32192729520083, 21.02957412624723 52.32190882529549, 21.02864351977018 52.32181685505576, 21.0277398010808 52.32165289508152, 21.02687781314012 52.32141963837203, 21.0260717129147 52.32112091605575, 21.02533473871362 52.32076163441405, 21.02467899267417 52.3203476942371, 21.02411524197705 52.31988589384178, 21.02365274205951 52.31938381734989, 21.02329908472869 52.31884971006738, 21.0230600736633 52.3182923430165, 21.02293962933762 52.31772086885088, 21.02293972491441 52.31714467152318, 21.02306035414195 52.31657321217727, 21.02329953176303 52.31601587379645, 21.0236533264089 52.31548180715905, 21.02411592541903 52.31497978062868, 21.02467973050462 52.31451803624331, 21.02533548267084 52.31410415446112, 21.02607241433626 52.31374492977937, 21.02687842614583 52.31344625926246, 21.02774028557379 52.31321304580355, 21.02864384405963 52.31304911770206, 21.02957426912128 52.31295716587245, 21.03051628764746 52.31293869971041, 21.0314544363913 52.31299402233815, 21.03237331557096 52.31312222563312, 21.03325784143323 52.31332120512149, 21.03409349365255 52.31358769449297, 21.03486655352123 52.31391731917284, 21.03556432903507 52.31430466807574, 21.03617536318992 52.3147433823676, 21.03668962207577 52.3152262597845, 21.03709865968203 52.31574537280115, 21.03739575670453 52.31629219871517, 21.03757603106707 52.31685775951635, 21.03763651833026 52.31743276924928))",3,0.0,0.0,0.0,1.0,1.0,0.0,491.75,116.25,343.5,32.0,240.25,251.5,59.0,165.0,16.25,57.25,178.5,15.75,103.4930947075,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,11.0,0.0,few_shops,few_parks,6.200204868111448,4.765160922297032,5.842384324093829,3.4995332823830174,5.486248162106502,5.531807209916391,4.096009841541162,5.112590016619249,2.8535925063928684,4.066459358732565,5.190732155868099,2.8243506567983707
2712,inpost,35458,POINT (21.03759 52.31755),"POLYGON ((21.04494599687195 52.31754977155802, 21.04488569903395 52.31812478876217, 21.04470560137909 52.31869037148827, 21.04440865676493 52.31923723234685, 21.04399973726013 52.31975639104193, 21.04348555439082 52.32023932188329, 21.04287454912875 52.32067809385114, 21.0421767534149 52.32106550090897, 21.04140362548432 52.32139518041878, 21.04056786169304 52.32166171770874, 21.03968318793844 52.32186073506978, 21.0387641341052 52.32198896371437, 21.03782579525164 52.32204429751053, 21.0368835834732 52.3220258276052, 21.03595297453542 52.32193385736542, 21.03504925345645 52.32176989739112, 21.03418726323657 52.32153664068154, 21.03338116087979 52.32123791836516, 21.03264418473019 52.32087863672332, 21.03198843695709 52.32046469654625, 21.03142468476964 52.3200028961508, 21.03096218362955 52.31950081965881, 21.03060852536402 52.31896671237622, 21.03036951366708 52.31840934532529, 21.03024906902336 52.31783787115963, 21.0302491646008 52.31726167383193, 21.03036979414766 52.31669021448604, 21.03060897240142 52.31613287610529, 21.03096276798295 52.31559880946796, 21.03142536821631 52.31509678293772, 21.0319891747926 52.31463503855247, 21.03264492869252 52.31422115677039, 21.03338186230615 52.31386193208875, 21.03418787624648 52.31356326157195, 21.03504973795276 52.31333004811313, 21.0359532988271 52.31316612001172, 21.03688372634823 52.31307416818215, 21.03782574736453 52.31305570202012, 21.03876389858825 52.31311102464783, 21.03968278019689 52.31323922794275, 21.04056730839737 52.31343820743104, 21.04140296282576 52.3137046968024, 21.04217602473812 52.31403432148218, 21.04287380209672 52.31442167038495, 21.04348483786708 52.31486038467668, 21.0439990981127 52.31534326209346, 21.04440813680063 52.31586237511002, 21.04470523460892 52.31640920102398, 21.04488550944845 52.3169747618251, 21.04494599687195 52.31754977155802))",2,0.0,0.0,0.0,0.0,1.0,0.0,491.75,116.25,343.5,32.0,240.25,251.5,59.0,165.0,16.25,57.25,178.5,15.75,103.4930947075,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,25.0,0.0,few_shops,few_parks,6.200204868111448,4.765160922297032,5.842384324093829,3.4995332823830174,5.486248162106502,5.531807209916391,4.096009841541162,5.112590016619249,2.8535925063928684,4.066459358732565,5.190732155868099,2.8243506567983707
2713,inpost,11431,POINT (21.05028 52.31764),"POLYGON ((21.05763601183158 52.31763977155728, 21.05757571387127 52.31821478876143, 21.05739561585044 52.31878037148757, 21.05709867063264 52.31932723234621, 21.05668975029642 52.31984639104137, 21.05617556638157 52.32032932188282, 21.05556455987698 52.32076809385077, 21.054866762744 52.32115550090868, 21.05409363324103 52.32148518041858, 21.05325786774991 52.32175171770861, 21.05237319219595 52.32195073506973, 21.05145413649337 52.32207896371435, 21.05051579573124 52.32213429751053, 21.04957358203636 52.32211582760518, 21.04864297120574 52.32202385736538, 21.04773924828863 52.32185989739103, 21.04687725631555 52.32162664068137, 21.04607115231927 52.3213279183649, 21.04533417467085 52.32096863672299, 21.04467842556419 52.32055469654582, 21.04411467223034 52.32009289615027, 21.04365217014984 52.31959081965821, 21.04329851116531 52.31905671237555, 21.04305949898257 52.31849934532458, 21.0429390540942 52.31792787115888, 21.04293914967215 52.31735167383119, 21.04305977946463 52.31678021448532, 21.04329895820507 52.31622287610463, 21.04365275450632 52.31568880946735, 21.04411535568062 52.3151867829372, 21.0446791634036 52.31472503855203, 21.04533491863711 52.31431115677005, 21.04607185374935 52.31395193208851, 21.0468778693287 52.31365326157179, 21.0477397327875 52.31342004811304, 21.04864329549913 52.31325612001168, 21.04957372491214 52.31316416818215, 21.05051574784388 52.31314570202011, 21.05145390097519 52.31320102464781, 21.05237278445225 52.31332922794268, 21.05325731445133 52.31352820743092, 21.05409297057898 52.31379469680221, 21.05486603406338 52.31412432148188, 21.05556381284099 52.31451167038456, 21.05617484985405 52.3149503846762, 21.05668911114563 52.3154332620929, 21.0570981506656 52.31595237510938, 21.05739524907833 52.31649920102329, 21.05757552428476 52.31706476182438, 21.05763601183158 52.31763977155728))",2,2.0,1.0,0.0,2.0,0.0,0.0,2178.75,599.0,1509.5,70.25,1039.0,1139.75,308.5,699.5,31.0,290.5,810.0,39.25,108.0089282675,2.0,0.0,0.0,2.0,5.0,0.0,0.0,8.0,12.0,0.0,few_shops,few_parks,7.687011346076352,6.397096307995467,7.3202622018793475,4.267597343922845,6.9470721413590875,7.03952887759158,5.735281141715572,6.551937110763387,3.4688560301359703,5.675383000134503,6.698391351076299,3.6975913947159578
2717,inpost,18592,POINT (21.0587 52.31814),"POLYGON ((21.06605609494212 52.31813977155316, 21.06599579630225 52.31871478875738, 21.06581569624821 52.31928037148371, 21.06551874767682 52.31982723234267, 21.06510982272156 52.32034639103824, 21.064595632998 52.32082932188016, 21.06398461959033 52.32126809384864, 21.06328681457326 52.32165550090708, 21.06251367633464 52.32198518041748, 21.06167790139979 52.32225171770794, 21.06079321584917 52.32245073506939, 21.05987414976127 52.32257896371424, 21.05893579839578 52.32263429751053, 21.05799357405374 52.32261582760514, 21.05706295270715 52.32252385736518, 21.05615921957805 52.32235989739053, 21.05529721786475 52.32212664068049, 21.05449110476007 52.32182791836356, 21.05375411878466 52.32146863672113, 21.05309836226919 52.32105469654343, 21.05253460256638 52.32059289614739, 21.05207209526127 52.32009081965486, 21.05171843228223 52.31955671237183, 21.05147941740056 52.3189993453206, 21.05135897115303 52.31842787115477, 21.05135906673378 52.31785167382709, 21.05147969789084 52.31728021448135, 21.05171887933511 52.31672287610092, 21.0520726796349 52.31618880946402, 21.0525352860367 52.31568678293429, 21.05309910013024 52.31522503854964, 21.05375486277274 52.31481115676819, 21.05449180621072 52.31445193208715, 21.05529783089588 52.31415326157092, 21.05615970409114 52.31392004811255, 21.05706327701006 52.31375612001148, 21.05799371693371 52.31366416818211, 21.05893575050701 52.31364570202011, 21.05987391423617 52.3137010246477, 21.06079280809351 52.31382922794236, 21.06167734808497 52.31402820743024, 21.06251301365315 52.31429469680109, 21.06328608587127 52.31462432148029, 21.06398387253243 52.31501167038243, 21.06459491644946 52.31545038467357, 21.06510918355202 52.31593326208978, 21.06551822769452 52.31645237510585, 21.06581532946534 52.31699920101943, 21.06599560671018 52.31756476182031, 21.06605609494212 52.31813977155316))",5,4.0,5.0,2.0,2.0,0.0,0.0,2456.25,651.0,1728.5,76.75,1160.75,1295.5,337.0,795.75,28.0,314.0,932.75,48.75,111.00634627,1.0,0.0,0.0,1.0,11.0,0.0,0.0,28.0,14.0,0.0,few_shops,few_parks,7.8068388125185715,6.480197924399157,7.455645446884944,4.354783898280007,7.057768841299621,7.167500732740895,5.823341709713841,6.6806664553056425,3.370738174177447,5.752890048763229,6.839315825759616,3.9090184964078474
2723,inpost,3473,POINT (21.05718 52.32034),"POLYGON ((21.06453646065741 52.32033977153503, 21.06447615902726 52.32091478873955, 21.06429605002641 52.32148037146676, 21.06399908669802 52.3220272323271, 21.0635901414174 52.32254639102449, 21.06307592613348 52.32302932186852, 21.0624648823499 52.32346809383929, 21.06176704264006 52.32385550090003, 21.06099386596151 52.3241851804126, 21.06015804947097 52.32445171770496, 21.05927331993158 52.32465073506792, 21.05835420814459 52.32477896371379, 21.05741581012061 52.32483429751051, 21.05647353892742 52.32481582760498, 21.0555428713069 52.32472385736428, 21.05463909324149 52.32455989738838, 21.05377704866784 52.32432664067662, 21.05297089548296 52.32402791835762, 21.0522338728659 52.32366863671294, 21.05157808374912 52.32325469653291, 21.05101429602061 52.32279289613465, 21.05055176572545 52.32229081964015, 21.05019808516916 52.32175671235549, 21.04995905841125 52.32119934530313, 21.04983860618296 52.32062787113672, 21.04983870177605 52.32005167380903, 21.04995933893774 52.31948021446389, 21.05019853227975 52.31892287608459, 21.05055235017451 52.3183888094493, 21.05101497957916 52.31788678292156, 21.05157882170542 52.31742503853913, 21.05223461695003 52.31701115676, 21.05297159702417 52.31665193208123, 21.05377766177811 52.31635326156703, 21.05463957781712 52.31612004811038, 21.05554319565167 52.31595612001058, 21.05647368182584 52.31586416818195, 21.05741576222566 52.31584570202009, 21.05835397258909 52.31590102464724, 21.05927291212328 52.31602922794089, 21.06015749608472 52.31622820742728, 21.06099320319447 52.31649469679623, 21.06176631384399 52.31682432147324, 21.06246413519556 52.31721167037308, 21.06307520949243 52.31765038466193, 21.06358950216534 52.318133262076, 21.06399856664859 52.31865237509027, 21.0642956831962 52.31919920100246, 21.06447596941072 52.31976476180249, 21.06453646065741 52.32033977153503))",5,4.0,3.0,1.0,3.0,0.0,0.0,2456.25,651.0,1728.5,76.75,1160.75,1295.5,337.0,795.75,28.0,314.0,932.75,48.75,111.00634627,2.0,0.0,0.0,1.0,10.0,0.0,0.0,42.0,13.0,0.0,few_shops,few_parks,7.8068388125185715,6.480197924399157,7.455645446884944,4.354783898280007,7.057768841299621,7.167500732740895,5.823341709713841,6.6806664553056425,3.370738174177447,5.752890048763229,6.839315825759616,3.9090184964078474
2728,inpost,3556,POINT (21.04975 52.3214),"POLYGON ((21.05710663688255 52.32139977152628, 21.05704633381149 52.32197478873094, 21.05686622049949 52.32254037145857, 21.05656925006022 52.32308723231957, 21.05616029498554 52.32360639101783, 21.05564606738499 52.3240893218629, 21.05503500896435 52.32452809383476, 21.05433715253731 52.32491550089662, 21.05356395733593 52.32524518041023, 21.05272812082118 52.32551171770353, 21.05184337008518 52.3257107350672, 21.05092423627743 52.32583896371355, 21.0499858157704 52.32589429751049, 21.0490435220013 52.32587582760489, 21.04811283208303 52.32578385736383, 21.04720903236441 52.32561989738731, 21.0463469671379 52.32538664067473, 21.04554079463981 52.32508791835475, 21.04480375436644 52.32472863670897, 21.04414794954025 52.32431469652784, 21.04358414830716 52.3238528961285, 21.04312160693391 52.32335081963304, 21.04276791790778 52.32281671234762, 21.04252888542713 52.3222593452947, 21.04240843031693 52.32168787112801, 21.04240852591596 52.32111167380032, 21.04252916597108 52.32054021445546, 21.04276836504618 52.31998287607671, 21.04312219141933 52.3194488094422, 21.04358483190823 52.31894678291543, 21.04414868754246 52.31848503853405, 21.04480449849685 52.31807115675604, 21.04554149622465 52.31771193207836, 21.04634758028631 52.31741326156516, 21.04720951697018 52.31718004810934, 21.04811315644797 52.31701612001014, 21.04904366490861 52.31692416818184, 21.04998576787247 52.31690570202008, 21.05092400070728 52.31696102464701, 21.05184296225152 52.31708922794017, 21.05272756740051 52.31728820742583, 21.05356329452766 52.31755469679387, 21.0543364236959 52.31788432146984, 21.05503426176354 52.31827167036857, 21.05564535069937 52.31871038465629, 21.05615965569372 52.31919326206936, 21.05656872997845 52.31971237508275, 21.05686585364646 52.32025920099429, 21.05704614418315 52.32082476179388, 21.05710663688255 52.32139977152628))",2,3.0,2.0,0.0,3.0,0.0,0.0,2197.75,612.5,1526.0,59.25,1040.75,1157.0,317.25,700.0,23.5,295.25,826.0,35.75,106.2214314375,5.0,0.0,0.0,2.0,5.0,0.0,0.0,27.0,7.0,0.0,few_shops,few_parks,7.69568977540415,6.419343250053046,7.331125790959136,4.10016094754354,6.948753258016209,7.054536010190332,5.7631514064630345,6.552650530212922,3.202746442938317,5.691541188233847,6.717925606697861,3.6068556186353455
2732,inpost,33705,POINT (21.05758 52.32214),"POLYGON ((21.06493675991414 52.32213977152019, 21.06487645583711 52.32271478872496, 21.06469633951528 52.32328037145288, 21.06439936411156 52.32382723231434, 21.06399040219915 52.32434639101321, 21.06347616599975 52.324829321859, 21.06286509736024 52.32526809383163, 21.06216722926208 52.32565550089426, 21.06139402112899 52.32598518040861, 21.06055817063434 52.32625171770254, 21.05967340509992 52.32645073506673, 21.05875425591838 52.32657896371341, 21.0578158197148 52.32663429751049, 21.05687351018434 52.32661582760485, 21.05594280469888 52.32652385736355, 21.05503898986307 52.32635989738661, 21.05417691021776 52.32612664067344, 21.05337072423615 52.32582791835276, 21.05263367163604 52.32546863670623, 21.05197785584232 52.32505469652431, 21.051414045181 52.32459289612422, 21.05095149607359 52.3240908196281, 21.05059780113423 52.32355671234214, 21.05035876465825 52.32299934528883, 21.05023830753604 52.32242787112195, 21.05023840313923 52.32185167379425, 21.05035904521438 52.3212802144496, 21.05059824829205 52.32072287607122, 21.05095208058438 52.32018880943726, 21.05141472881176 52.31968678291115, 21.05197859387657 52.31922503853053, 21.05263441579876 52.3188111567533, 21.05337142585146 52.31845193207638, 21.0541775233928 52.31815326156387, 21.05503947448989 52.31792004810862, 21.05594312907791 52.31775612000985, 21.05687365309785 52.31766416818181, 21.05781577181478 52.31764570202007, 21.05875402033799 52.31770102464687, 21.05967299724854 52.31782922793968, 21.06055761718964 52.31802820742484, 21.06139335829193 52.31829469679225, 21.06216650038903 52.31862432146748, 21.06286435012698 52.31901167036543, 21.063475449283 52.31945038465239, 21.06398976287957 52.31993326206474, 21.0643988440072 52.32045237507753, 21.06469597264632 52.32099920098858, 21.06487626620054 52.32156476178789, 21.06493675991414 52.32213977152019))",4,4.0,3.0,1.0,1.0,0.0,0.0,2456.25,651.0,1728.5,76.75,1160.75,1295.5,337.0,795.75,28.0,314.0,932.75,48.75,111.00634627,4.0,0.0,0.0,1.0,9.0,0.0,1.0,35.0,12.0,0.0,few_shops,few_parks,7.8068388125185715,6.480197924399157,7.455645446884944,4.354783898280007,7.057768841299621,7.167500732740895,5.823341709713841,6.6806664553056425,3.370738174177447,5.752890048763229,6.839315825759616,3.9090184964078474
2737,inpost,19609,POINT (21.0563 52.32462),"POLYGON ((21.06365717227518 52.32461977149973, 21.06359686482648 52.32519478870483, 21.0634167384167 52.32576037143373, 21.06311974637377 52.32630723229676, 21.06271076154357 52.32682639099768, 21.06219649652366 52.32730932184585, 21.06158539363392 52.32774809382106, 21.06088748641803 52.3281355008863, 21.06011423494213 52.32846518040311, 21.0592783375915 52.32873171769917, 21.0583935224577 52.32893073506506, 21.05747432174831 52.32905896371288, 21.0565358329351 52.32911429751046, 21.05559347057778 52.32909582760465, 21.05466271291631 52.32900385736252, 21.05375884741271 52.32883989738416, 21.05289671944037 52.32860664066905, 21.05209048826647 52.32830791834606, 21.05135339435119 52.32794863669698, 21.05069754179796 52.32753469651244, 21.05013369953636 52.32707289610985, 21.04967112450659 52.3265708196115, 21.04931740974807 52.32603671232371, 21.04907835988108 52.32547934526912, 21.04895789601529 52.32490787110158, 21.04895799163239 52.32433167377388, 21.04907864047804 52.32376021442989, 21.04931785697097 52.3232028760528, 21.04967170910245 52.32266880942065, 21.05013438326662 52.32216678289678, 21.05069827993962 52.32170503851867, 21.05135413862221 52.32129115674404, 21.05209118998388 52.32093193206967, 21.05289733270464 52.32063326155948, 21.05375933211006 52.32040004810617, 21.05466303734254 52.32023612000883, 21.05559361351209 52.3201441681816, 21.05653578502812 52.32012570202004, 21.05747408613364 52.32018102464633, 21.05839311454697 52.32030922793802, 21.05927778406626 52.32050820742148, 21.06011357200861 52.32077469678674, 21.0608867574389 52.32110432145952, 21.06158464629191 52.32149167035487, 21.06219577970261 52.32193038463925, 21.06271012213094 52.32241326204921, 21.06311922619372 52.32293237505995, 21.06341637149434 52.32347920096944, 21.06359667516231 52.32404476176777, 21.06365717227518 52.32461977149973))",3,3.0,2.0,1.0,1.0,0.0,0.0,2661.6666666666665,742.6666666666665,1853.666666666667,65.33333333333333,1251.0,1410.666666666667,384.0,843.3333333333335,23.66666666666667,358.66666666666674,1010.3333333333335,41.66666666666666,109.43345330000001,5.0,0.0,0.0,4.0,5.0,0.0,5.0,34.0,15.0,0.0,few_shops,few_parks,7.887120961496876,6.611727365572348,7.525514180966271,4.196198938550639,7.1325774206749015,7.2525971541617915,5.953503040820864,6.738665790956901,3.209498663055604,5.885455673163191,6.919123745719298,3.755758982953481
