grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
183811,"POLYGON ((19.79522715178124 49.99701091138301, 19.78138392187399 49.99820762493913, 19.78321665439089 50.00710715369841, 19.79706239898761 50.00591018313331, 19.79522715178124 49.99701091138301))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,52,223,13,147,141,22,119,6,30,104,7,95.91836734,2.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0
183813,"POLYGON ((19.80809184011111 50.05930443050242, 19.79423098211208 50.06050294097975, 19.79606969774723 50.06940200796049, 19.80993307884954 50.06820324028763, 19.80809184011111 50.05930443050242))",1.0,0.0,0.0,1.0,1.0,0.0,0.0,275,48,193,34,137,138,23,97,17,25,96,17,100.729927,5.0,0.0,0.0,10.0,0.0,2.0,0.0,10.0,12.0,0.0
183897,"POLYGON ((19.79706239898761 50.00591018313331, 19.78321665439089 50.00710715369841, 19.78505023985091 50.01600661672072, 19.79889850174573 50.01480938988173, 19.79706239898761 50.00591018313331))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,9,0,7,3,0,6,0,0,3,0,42.85714285,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
184046,"POLYGON ((19.80993307884954 50.06820324028763, 19.79606969774723 50.06940200796049, 19.79790927050743 50.07830100896398, 19.81177517593096 50.07710198483958, 19.80993307884954 50.06820324028763))",0.0,0.0,0.0,1.0,1.0,0.0,0.0,31,4,25,0,11,20,0,11,0,4,14,0,181.81818181,1.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,27.0,0.0
184055,"POLYGON ((19.79889850174573 50.01480938988173, 19.78505023985091 50.01600661672072, 19.78688467883523 50.02490601307223, 19.80073545783053 50.02370852981394, 19.79889850174573 50.01480938988173))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,566,76,436,54,274,292,44,216,14,32,220,40,106.56934306,19.0,0.0,2.0,24.0,2.0,0.0,0.0,4.0,5.0,0.0
184113,"POLYGON ((19.81177517593096 50.07710198483958, 19.79790927050743 50.07830100896398, 19.79974970100715 50.08719994485529, 19.81361813052715 50.0860006623344, 19.81177517593096 50.07710198483958))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,7,23,14,24,20,3,15,7,5,8,7,83.33333333,1.0,0.0,0.0,7.0,0.0,0.0,3.0,4.0,4.0,0.0
184374,"POLYGON ((19.82564044210821 50.07590127569284, 19.81177517593096 50.07710198483958, 19.81361813052715 50.0860006623344, 19.82748592170383 50.08479969607731, 19.82564044210821 50.07590127569284))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0
184411,"POLYGON ((19.80906974991273 49.9958125155087, 19.79522715178124 49.99701091138301, 19.79706239898761 50.00591018313331, 19.81090751131731 50.00471153154731, 19.80906974991273 49.9958125155087))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
184412,"POLYGON ((19.82195206270785 50.0581042359892, 19.80809184011111 50.05930443050242, 19.80993307884954 50.06820324028763, 19.82379582264318 50.06700278898526, 19.82195206270785 50.0581042359892))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,7,0,3,5,3,0,0,0,5,0,166.66666666,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
184453,"POLYGON ((19.81090751131731 50.00471153154731, 19.79706239898761 50.00591018313331, 19.79889850174573 50.01480938988173, 19.81274612804485 50.0136104806394, 19.81090751131731 50.00471153154731))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,62,340,68,218,252,30,165,23,32,175,45,115.59633027,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
