buffer_index,operator,point_id,center,buffer,inpost_points,poczta_points,dhl_points,ruch_points,dpd_points,ups_points,fedex_points,TOT,TOT_0_14,TOT_15_64,TOT_65__,TOT_MALE,TOT_FEM,MALE_0_14,MALE_15_64,MALE_65__,FEM_0_14,FEM_15_64,FEM_65__,FEM_RATIO,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
1,inpost,10312,POINT (19.88858 50.09783),"POLYGON ((19.89558975435564 50.09782978898647, 19.89553228781018 50.09840480590604, 19.89536066080626 50.09897038779616, 19.89507768763357 50.09951724732203, 19.89468801139972 50.10003640427482, 19.89419802800677 50.10051933307825, 19.89361578129897 50.10095810284591, 19.89295083109234 50.10134550768513, 19.89221409624594 50.10167518510312, 19.89141767534872 50.10194172056489, 19.89057464796794 50.10214073648099, 19.88969885972883 50.10226896415841, 19.8888046947644 50.10232429752845, 19.88790683928533 50.10230582776592, 19.88702004016806 50.10221385822857, 19.88615886254221 50.10204989947032, 19.88533745037562 50.10181664441085, 19.88456929400464 50.10151792407071, 19.88386700844195 50.10115864460192, 19.88324212611369 50.10074470665254, 19.88270490743742 50.1002829083937, 19.88226417235512 50.09978083380746, 19.88192715558689 50.0992467280751, 19.88169938797693 50.0986893621175, 19.88158460587106 50.09811788851674, 19.88158469000109 50.09754169118862, 19.88169963486406 50.096970231277, 19.88192754908217 50.09641289180225, 19.88226468671991 50.09587882361421, 19.88270550902698 50.095376795178, 19.88324277557789 50.09491504865618, 19.88386766329915 50.09450116464671, 19.88456991142046 50.09414193779247, 19.88533798996471 50.09384326529998, 19.88615928900991 50.09361005019156, 19.88702032561898 50.09344612087453, 19.88790696504807 50.09335416834282, 19.88880465261277 50.09333570203802, 19.88969865241999 50.09339102509168, 19.89057428906202 50.09351922935341, 19.89141718832184 50.09371821028617, 19.89221351295468 50.09398470148519, 19.89295018968993 50.09431432825626, 19.89361512373972 50.09470167937724, 19.89419739730181 50.09514039586904, 19.89468744880363 50.0956232753238, 19.89507722994593 50.096142390083, 19.89536033796453 50.09668921733027, 19.89553212093152 50.09725477896811, 19.89558975435564 50.09782978898647))",1,0.0,0.0,0.0,0.0,1.0,0.0,684.25,107.75,490.5,86.0,331.25,353.0,55.25,239.0,37.0,52.5,251.5,49.0,107.63343394,20.0,0.0,0.0,9.0,1.0,0.0,5.0,8.0,8.0,1.0
3,inpost,34314,POINT (19.89853 50.11278),"POLYGON ((19.90554194260677 50.11277978887455, 19.90548445816611 50.11335480579595, 19.90531277762638 50.11392038769145, 19.90502971615308 50.11446724722585, 19.90463991830094 50.11498640418984, 19.90414978196682 50.11546933300636, 19.90356735350486 50.11590810278814, 19.90290219571492 50.11629550764162, 19.90216523086489 50.11662518507304, 19.90136856132158 50.11689172054654, 19.90052527073701 50.11709073647192, 19.89964920906085 50.11721896415555, 19.89875476491906 50.11727429752833, 19.89785662910983 50.11725582776489, 19.89696955311607 50.11716385822302, 19.89610810661701 50.11699989945696, 19.89528643799828 50.1167666443869, 19.89451804180951 50.11646792403405, 19.89381553700279 50.11610864455133, 19.89319045960501 50.11569470658764, 19.89265307323666 50.11523290831509, 19.89221220059222 50.11473083371661, 19.89187507864876 50.11419672797429, 19.89164723997495 50.11363936200965, 19.89153242208048 50.11306788840528, 19.89153250628141 50.11249169107715, 19.89164748707015 50.11192023116917, 19.89187547247565 50.11136289170144, 19.89221271539048 50.11082882352338, 19.89265367533319 50.1103267950994, 19.89319110961653 50.10986504859131, 19.89381619241186 50.10945116459612, 19.89451865974564 50.10909193775585, 19.89528697804209 50.10879326527604, 19.8961085334441 50.10856005017822, 19.89696983880755 50.10839612086899, 19.89785675497856 50.10830416834179, 19.89875472273192 50.1082857020379, 19.89964900157731 50.10834102508883, 19.90052491152863 50.10846922934436, 19.90136807388427 50.10866821026784, 19.90216464708207 50.10893470145512, 19.90290155377198 50.10926432821277, 19.90356669539146 50.10965167931951, 19.90414915073035 50.11009039579717, 19.90463935523074 50.11057327523883, 19.90502925807973 50.11109238998685, 19.90531245451258 50.11163921722554, 19.90548429114682 50.11220477885804, 19.90554194260677 50.11277978887455))",1,0.0,0.0,0.0,0.0,0.0,0.0,579.75,107.5,410.0,62.25,275.25,304.5,55.0,196.25,24.0,52.5,213.75,38.25,110.26894520249999,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8,inpost,2450,POINT (20.00826 50.09442),"POLYGON ((20.01526925548757 50.09441978901197, 20.01521179302178 50.09499480593114, 20.01504017822274 50.09556038782004, 20.01475722518044 50.09610724734394, 20.01436757667259 50.09662640429418, 20.01387762814652 50.09710933309464, 20.01329542287425 50.09754810285907, 20.01263051999157 50.09793550769504, 20.01189383758041 50.09826518510997, 20.01109747336845 50.09853172056906, 20.01025450599174 50.09873073648304, 20.00937878008963 50.09885896415904, 20.00848467877084 50.09891429752845, 20.00758688720023 50.09889582776615, 20.00670015120407 50.09880385822982, 20.00583903487479 50.09863989947335, 20.00501768117304 50.0984066444163, 20.00424957947469 50.09810792407904, 20.00354734389431 50.09774864461345, 20.00292250603716 50.09733470666733, 20.0023853255906 50.09687290841163, 20.00194462186913 50.09637083382817, 20.0016076290783 50.09583672809808, 20.00137987766916 50.09527936214207, 20.00126510372224 50.09470788854215, 20.00126518783611 50.09413169121402, 20.00138012450887 50.09356023130158, 20.00160802249799 50.09300289182522, 20.00194513613512 50.09246882363492, 20.0023859270646 50.09196679519591, 20.0029231553766 50.09150504867097, 20.00354799862572 50.09109116465822, 20.0042501967719 50.09073193780082, 20.00501822065848 50.09043326530542, 20.00583946126056 50.0902000501946, 20.00670043660017 50.09003612087579, 20.00758701293882 50.08994416834304, 20.00848463662732 50.08992570203804, 20.00937857282061 50.08998102509233, 20.01025414715475 50.09010922935548, 20.01109698643513 50.09030821029035, 20.01189325440119 50.09057470149204, 20.01262987871237 50.09090432826618, 20.01329476544132 50.09129167939041, 20.01387699756271 50.09173039588542, 20.01436701418458 50.09221327534318, 20.01475676758071 50.09273239010493, 20.01503985544302 50.09327921735413, 20.01521162617518 50.09384477899321, 20.01526925548757 50.09441978901197))",6,4.0,3.0,2.0,1.0,1.0,0.0,14990.25,1840.75,10336.75,2812.75,7139.0,7851.25,925.5,4968.75,1244.75,915.25,5368.0,1568.0,109.75008063,15.0,0.0,2.0,0.0,13.0,16.0,63.0,17.0,34.0,11.0
9,inpost,2931,POINT (19.9806 50.09445),"POLYGON ((19.98760925987602 50.09444978901176, 19.98755179737434 50.09502480593093, 19.98738018246793 50.09559038781983, 19.98709722924855 50.09613724734376, 19.98670758049681 50.09665640429402, 19.98621763166402 50.0971393330945, 19.98563542602725 50.09757810285896, 19.98497052272828 50.09796550769496, 19.98423383985584 50.09829518510992, 19.98343747514523 50.09856172056903, 19.98259450724067 50.09876073648304, 19.9817187807902 50.09888896415904, 19.98082467891153 50.09894429752846, 19.97992688677873 50.09892582776615, 19.97904015022731 50.09883385822981, 19.97817903335881 50.09866989947334, 19.97735767914276 50.09843664441627, 19.97658957696346 50.09813792407898, 19.9758873409434 50.09777864461336, 19.97526250269504 50.09736470666721, 19.97472532191219 50.09690290841147, 19.97428461791484 50.096400833828, 19.97394762491308 50.09586672809788, 19.97371987336143 50.09530936214186, 19.97360509934273 50.09473788854194, 19.97360518345674 50.0941616912138, 19.97372012020156 50.09359023130136, 19.97394801833344 50.09303289182503, 19.97428513218169 50.09249882363474, 19.9747259233872 50.09199679519578, 19.97526315203557 50.09153504867086, 19.97588799567591 50.09112116465813, 19.97659019426172 50.09076193780075, 19.97735821862911 50.09046326530538, 19.9781794597453 50.09023005019457, 19.97904043562388 50.09006612087579, 19.97992701251753 50.08997416834305, 19.98082463676793 50.08995570203805, 19.98171857352083 50.09001102509233, 19.98259414840308 50.09013922935547, 19.98343698821109 50.09033821029031, 19.98423325667564 50.09060470149199, 19.98496988144798 50.0909343282661, 19.9856347685932 50.0913216793903, 19.98621700107914 50.09176039588528, 19.98670701800784 50.09224327534301, 19.98709677164805 50.09276239010473, 19.98737985968767 50.09330921735393, 19.98755163052746 50.093874778993, 19.98760925987602 50.09444978901176))",3,2.0,2.0,0.0,0.0,0.0,0.0,7537.333333333333,1023.0,5816.0,698.6666666666666,3621.6666666666665,3915.6666666666665,520.3333333333334,2775.6666666666665,325.6666666666667,502.6666666666667,3040.3333333333335,372.0,102.13498329333333,121.0,0.0,1.0,1.0,6.0,0.0,26.0,49.0,47.0,7.0
10,inpost,34805,POINT (20.02332 50.09448),"POLYGON ((20.03032926426448 50.09447978901152, 20.03027180172692 50.09505480593069, 20.03010018671314 50.09562038781961, 20.02981723331667 50.09616724734356, 20.02942758432103 50.09668640429384, 20.02893763518152 50.09716933309435, 20.02835542918025 50.09760810285884, 20.02769052546498 50.09799550769487, 20.02695384213128 50.09832518510985, 20.02615747692202 50.09859172056899, 20.02531450848962 50.09879073648301, 20.02443878149077 50.09891896415903, 20.02354467905223 50.09897429752846, 20.02264688635724 50.09895582776615, 20.02176014925054 50.0988638582298, 20.02089903184283 50.09869989947329, 20.02007767711248 50.0984666444162, 20.01930957445223 50.0981679240789, 20.01860733799248 50.09780864461325, 20.01798249935292 50.09739470666707, 20.01744531823377 50.0969329084113, 20.01700461396054 50.09643083382781, 20.01666762074786 50.09589672809767, 20.01643986905369 50.09533936214164, 20.01632509496322 50.0947678885417, 20.01632517907738 50.09419169121357, 20.01644011589423 50.09362023130114, 20.01666801416888 50.09306289182482, 20.01700512822827 50.09252882363455, 20.0174459197098 50.0920267951956, 20.01798314869455 50.09156504867072, 20.0186079927261 50.09115116465803, 20.01931019175153 50.09079193780066, 20.02007821659974 50.09049326530533, 20.02089945823004 50.09026005019454, 20.0217604346476 50.09009612087577, 20.02264701209624 50.09000416834304, 20.02354463690856 50.08998570203804, 20.02443857422105 50.09004102509231, 20.02531414965142 50.09016922935544, 20.02615698998705 50.09036821029026, 20.02695325895009 50.09063470149192, 20.02768988418361 50.090964328266, 20.02835477174509 50.09135167939017, 20.02893700459558 50.09179039588513, 20.02942702183112 50.09227327534283, 20.0298167757154 50.09279239010453, 20.03009986393233 50.09333921735371, 20.03027163487975 50.09390477899277, 20.03032926426448 50.09447978901152))",6,2.0,1.0,1.0,1.0,0.0,0.0,8356.0,1050.5,5822.75,1482.75,3965.25,4390.75,517.25,2830.0,618.0,533.25,2992.75,864.75,110.65419119250001,13.0,3.0,0.0,1.0,3.0,8.0,12.0,19.0,30.0,11.0
14,inpost,34534,POINT (20.00474 50.09464000000001),"POLYGON ((20.01174928766972 50.09463978901035, 20.01169182494074 50.09521480592954, 20.01152020935436 50.09578038781851, 20.01123725501344 50.09632724734254, 20.01084760471698 50.09684640429295, 20.01035765394163 50.0973293330936, 20.00977544599635 50.09776810285823, 20.00911054006079 50.09815550769442, 20.00837385426701 50.09848518510955, 20.00757748639826 50.0987517205688, 20.00673451515067 50.09895073648293, 20.00585878522718 50.09907896415901, 20.00496467980259 50.09913429752848, 20.00406688410922 50.09911582776616, 20.0031801440411 50.09902385822976, 20.00231902375755 50.09885989947317, 20.00149766628422 50.09862664441597, 20.00072956105892 50.09832792407853, 20.00002732225417 50.09796864461273, 19.99940248152816 50.09755470666639, 19.9988652986154 50.09709290841048, 19.99842459287083 50.09659083382685, 19.99808759853321 50.09605672809661, 19.99785984607895 50.0954993621405, 19.99774507160569 50.09492788854052, 19.9977451557206 50.0943516912124, 19.99786009292172 50.0937802313, 19.99808799195778 50.09322289182376, 19.99842510714319 50.0926888236336, 19.99886590009685 50.09218679519478, 19.99940313087565 50.09172504867004, 20.00002797699369 50.0913111646575, 20.00073017836378 50.09095193780029, 20.00149820577635 50.09065326530509, 20.00231945014861 50.09042005019442, 20.00318042944073 50.09025612087573, 20.00406700984936 50.09016416834304, 20.00496463765854 50.09014570203805, 20.00585857795559 50.0902010250923, 20.00673415630924 50.09032922935535, 20.0075769994589 50.0905282102901, 20.00837327108056 50.0907947014916, 20.00910989877364 50.09112432826555, 20.00977478855526 50.09151167938958, 20.01035702335001 50.09195039588438, 20.010847042222 50.09243327534194, 20.01123679740804 50.09295239010353, 20.01151988657064 50.09349921735261, 20.01169165809207 50.09406477899161, 20.01174928766972 50.09463978901035))",8,4.0,1.0,2.0,1.0,1.0,0.0,12147.0,1584.75,8638.75,1923.5,5854.25,6292.75,812.0,4119.75,922.5,772.75,4519.0,1001.0,106.617066195,24.0,0.0,1.0,0.0,16.0,2.0,35.0,21.0,29.0,5.0
19,inpost,26329,POINT (20.01029 50.09483),"POLYGON ((20.01729931546371 50.09482978900892, 20.01724185250744 50.09540480592813, 20.01707023624107 50.09597038781718, 20.0167872807786 50.09651724734131, 20.01639762893742 50.09703640429186, 20.01590767621949 50.09751933309268, 20.01532546596566 50.09795810285749, 20.01466055739349 50.09834550769386, 20.01392386867833 50.09867518510917, 20.01312749765141 50.09894172056857, 20.01228452306074 50.09914073648281, 20.0114087896642 50.09926896415897, 20.01051468069365 50.09932429752847, 20.00961688143969 50.09930582776612, 20.00873013785482 50.09921385822967, 20.0078690141562 50.09904989947299, 20.00704765342555 50.09881664441566, 20.00627954515421 50.09851792407805, 20.00557730356473 50.09815864461208, 20.00495246036106 50.09774470666556, 20.00441527531836 50.09728290840948, 20.00397456782656 50.0967808338257, 20.00363757215305 50.09624672809532, 20.00340981879618 50.09568936213913, 20.00329504386835 50.09511788853911, 20.00329512798417 50.09454169121096, 20.00341006564159 50.09397023129863, 20.00363796558183 50.09341289182247, 20.00397508210442 50.09287882363244, 20.00441587680626 50.09237679519376, 20.0049531097155 50.09191504866921, 20.00557795831126 50.09150116465685, 20.00628016246568 50.09114193779982, 20.00704819292345 50.09084326530478, 20.00786944055182 50.09061005019424, 20.00873042325751 50.09044612087565, 20.00961700718118 50.09035416834303, 20.01051463854915 50.09033570203804, 20.0114085823904 50.09039102509226, 20.01228416421547 50.09051922935524, 20.01312701070684 50.09071821028986, 20.01392328548564 50.09098470149122, 20.01465991609947 50.091314328265, 20.01532480851754 50.09170167938883, 20.01590704562112 50.09214039588346, 20.01639706643641 50.09262327534085, 20.01678682316831 50.0931423901023, 20.01706991345389 50.09368921735126, 20.01724168565698 50.09425477899021, 20.01729931546371 50.09482978900892))",6,5.0,2.0,3.0,1.0,1.0,0.0,14990.25,1840.75,10336.75,2812.75,7139.0,7851.25,925.5,4968.75,1244.75,915.25,5368.0,1568.0,109.75008063,14.0,3.0,2.0,0.0,9.0,16.0,71.0,12.0,34.0,14.0
21,inpost,17175,POINT (20.01146 50.09522),"POLYGON ((20.01846937251547 50.095219789006, 20.01841190909263 50.09579480592525, 20.01824029143049 50.09636038781445, 20.01795733366586 50.09690724733881, 20.01756767865386 50.09742640428964, 20.01707772194847 50.09790933309081, 20.01649550695598 50.09834810285599, 20.01583059297172 50.09873550769272, 20.01509389825994 50.09906518510838, 20.01429752075036 50.09933172056808, 20.01345453929748 50.09953073648257, 20.01257879877193 50.0996589641589, 20.01168468252272 50.09971429752846, 20.01078687596003 50.0996958277661, 20.00990012515648 50.09960385822954, 20.00903899444783 50.09943989947264, 20.008217627031 50.09920664441503, 20.00744951250717 50.09890792407709, 20.00674726520159 50.09854864461075, 20.0061224169121 50.09813470666386, 20.00558522749736 50.09767290840743, 20.00514451641905 50.09717083382333, 20.00480751800344 50.09663672809269, 20.0045797627938 50.09607936213631, 20.00446498693289 50.09550788853619, 20.00446507105056 50.09493169120807, 20.00458000964463 50.09436023129582, 20.00480791144086 50.09380289181984, 20.00514503070821 50.09326882363007, 20.00558582899847 50.09276679519172, 20.00612306628081 50.09230504866752, 20.00674791996251 50.09189116465554, 20.0074501298322 50.09153193779887, 20.00821816654075 50.09123326530415, 20.00903942085282 50.0910000501939, 20.00990041056544 50.0908361208755, 20.01078700170428 50.090744168343, 20.01168464037729 50.09072570203804, 20.01257859149358 50.09078102509218, 20.01345418044433 50.09090922935501, 20.0142970337951 50.09110821028938, 20.01509331505444 50.09137470149043, 20.01582995166362 50.09170432826386, 20.01649484949341 50.09209167938732, 20.01707709133625 50.09253039588158, 20.0175671161405 50.09301327533863, 20.01795687604551 50.09353239009979, 20.01823996863622 50.09407921734853, 20.01841174223851 50.09464477898733, 20.01846937251547 50.095219789006))",6,6.0,3.0,3.0,2.0,1.0,0.0,14990.25,1840.75,10336.75,2812.75,7139.0,7851.25,925.5,4968.75,1244.75,915.25,5368.0,1568.0,109.75008063,10.0,3.0,2.0,0.0,10.0,16.0,63.0,11.0,32.0,14.0
25,inpost,34860,POINT (19.99837 50.09556),"POLYGON ((20.00537942225392 50.09555978900345, 20.00532195842433 50.09613480592275, 20.00515033954533 50.09670038781206, 20.00486737977365 50.09724724733663, 20.0044777219973 50.0977664042877, 20.00398776181559 50.09824933308916, 20.00340554269186 50.09868810285467, 20.00274062398929 50.09907550769173, 20.00200392404957 50.09940518510768, 20.00120754088833 50.09967172056766, 20.00036455345289 50.09987073648235, 19.99948880671218 50.09999896415882, 19.99859468411732 50.10005429752845, 19.99769687118279 50.10003582776608, 19.9968101140859 50.09994385822939, 19.99594897726582 50.09977989947234, 19.9951276040199 50.09954664441449, 19.99435948404506 50.09924792407626, 19.99365723175612 50.0988886446096, 19.99303237903274 50.09847470666238, 19.99249518580639 50.09801290840563, 19.99205447160133 50.09751083382125, 19.99171747079511 50.09697672809039, 19.9914897139702 50.09641936213385, 19.99137493729583 50.09584788853365, 19.99137502141511 50.09527169120553, 19.99148996082577 50.09470023129336, 19.99171786424007 50.09414289181755, 19.99205498590035 50.093608823628, 19.99249578731903 50.09310679518993, 19.99303302841388 50.09264504866604, 19.99365788652958 50.09223116465438, 19.99436010138192 50.09187193779803, 19.99512814353998 50.09157326530361, 19.99594940367898 50.09134005019358, 19.99681039950033 50.09117612087537, 19.99769699692945 50.09108416834297, 19.99859464197108 50.09106570203804, 19.99948859942985 50.09112102509211, 20.00036419459286 50.09124922935479, 20.00120705392373 50.09144821028895, 20.0020033408329 50.09171470148975, 20.0027399826689 50.09204432826287, 20.0034048852167 50.09243167938601, 20.00398713119128 50.09287039587995, 20.00447715947316 50.0933532753367, 20.00486692214454 50.09387239009759, 20.00515001674488 50.09441921734615, 20.00532179156702 50.09498477898482, 20.00537942225392 50.09555978900345))",4,5.0,1.0,3.0,1.0,1.0,0.0,12147.0,1584.75,8638.75,1923.5,5854.25,6292.75,812.0,4119.75,922.5,772.75,4519.0,1001.0,106.617066195,38.0,0.0,3.0,2.0,15.0,6.0,0.0,22.0,20.0,3.0
26,inpost,9172,POINT (19.9969829 50.0960157),"POLYGON ((20.00399238891956 50.09601548900005, 20.0039349245448 50.09659050591941, 20.00376330403481 50.09715608780889, 20.00348034157303 50.09770294733371, 20.00309068009154 50.09822210428514, 20.00260071525044 50.09870503308699, 20.00201849058953 50.09914380285291, 20.00135356556287 50.09953120769042, 20.00061685861604 50.09986088510678, 19.99982046787972 50.10012742056713, 19.99897747242571 50.1003264364821, 19.99810171735466 50.10045466415875, 19.9972075862546 50.10050999752847, 19.99630976477973 50.10049152776606, 19.99542299924773 50.10039955822924, 19.99456185423636 50.10023559947194, 19.99374047317755 50.10000234441377, 19.9929723458966 50.09970362407515, 19.99227008692834 50.09934434460807, 19.99164522826212 50.09893040666041, 19.99110802992698 50.09846860840324, 19.99066731153106 50.0979665338185, 19.99033030752064 50.09743242808734, 19.99010254853076 50.09687506213058, 19.98998777076607 50.09630358853028, 19.98998785488751 50.09572739120214, 19.99010279539266 50.09515593129009, 19.9903307009757 50.09459859181449, 19.99066782584327 50.09406452362525, 19.99110863145506 50.09356249518755, 19.99164587765993 50.09310074866409, 19.9922707417186 50.09268686465285, 19.99297296324931 50.09232763779693, 19.99374101271149 50.09202896530289, 19.99456228066047 50.09179575019319, 19.99542328466949 50.09163182087522, 19.99630989052962 50.09153986834295, 19.99720754410728 50.09152140203804, 19.99810151006702 50.09157672509205, 19.99897711355647 50.09170492935453, 19.99981998090263 50.09190391028841, 20.0006162753844 50.09217040148885, 20.00135292422602 50.09250002826155, 20.00201783309749 50.09288737938427, 20.00260008460995 50.09332609587777, 20.00309011755296 50.09380897533412, 20.00347988393217 50.09432809009468, 20.00376298122607 50.09487491734297, 20.0039347576832 50.09544047898149, 20.00399238891956 50.09601548900005))",3,6.0,1.0,3.0,1.0,1.0,0.0,12147.0,1584.75,8638.75,1923.5,5854.25,6292.75,812.0,4119.75,922.5,772.75,4519.0,1001.0,106.617066195,32.0,0.0,3.0,3.0,15.0,6.0,0.0,21.0,16.0,1.0
