grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
57842,"POLYGON ((16.73389658061281 52.45685118850515, 16.71923934623146 52.45768093728865, 16.72060303299235 52.46662341992229, 16.73526319875161 52.46579347845825, 16.73389658061281 52.45685118850515))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,18,4,11,12,0,9,0,3,9,0,109.09090909,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
58254,"POLYGON ((16.74992285694611 52.46496173339644, 16.73526319875161 52.46579347845825, 16.73663049535892 52.47473573716957, 16.75129308594052 52.47390379962692, 16.74992285694611 52.46496173339644))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,35,169,9,103,110,17,84,0,18,85,7,106.7961165,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
58283,"POLYGON ((16.74855330788155 52.45601963669236, 16.73389658061281 52.45685118850515, 16.73526319875161 52.46579347845825, 16.74992285694611 52.46496173339644, 16.74855330788155 52.45601963669236))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
58792,"POLYGON ((16.76595516690402 52.47307005986835, 16.75129308594052 52.47390379962692, 16.752663995388 52.48284583536434, 16.76732900983922 52.48201190152706, 16.76595516690402 52.47307005986835))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,66,205,26,138,159,33,94,11,33,111,15,115.2173913,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
58998,"POLYGON ((16.76183772648044 52.44624434760554, 16.74718443827008 52.44707750863557, 16.74855330788155 52.45601963669236, 16.76320952648387 52.45518628290196, 16.76183772648044 52.44624434760554))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,29,86,6,54,67,9,42,3,20,44,3,124.07407407,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
59042,"POLYGON ((16.76458200597547 52.46412818668725, 16.74992285694611 52.46496173339644, 16.75129308594052 52.47390379962692, 16.76595516690402 52.47307005986835, 16.76458200597547 52.46412818668725))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,11,64,10,48,37,7,36,5,4,28,5,77.08333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
59087,"POLYGON ((16.76320952648387 52.45518628290196, 16.74855330788155 52.45601963669236, 16.74992285694611 52.46496173339644, 16.76458200597547 52.46412818668725, 16.76320952648387 52.45518628290196))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,7,26,3,19,17,5,12,0,3,14,3,89.47368421,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
59280,"POLYGON ((16.78199351275438 52.4811761641602, 16.76732900983922 52.48201190152706, 16.76870353378806 52.49095371251461, 16.78337097119934 52.49011778126818, 16.78199351275438 52.4811761641602))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,879,180,613,86,416,463,84,295,37,96,318,49,111.29807692,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,0.0
59360,"POLYGON ((16.77786523491279 52.45435112728732, 16.76320952648387 52.45518628290196, 16.76458200597547 52.46412818668725, 16.77924064437787 52.46329283758562, 16.77786523491279 52.45435112728732))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,288,62,206,20,133,155,30,96,7,32,110,13,116.54135338,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,8.0,0.0
59417,"POLYGON ((16.78061673683175 52.47223451625027, 16.76595516690402 52.47307005986835, 16.76732900983922 52.48201190152706, 16.78199351275438 52.4811761641602, 16.78061673683175 52.47223451625027))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1053,189,731,133,511,542,102,355,54,87,376,79,106.0665362,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0
59546,"POLYGON ((16.77924064437787 52.46329283758562, 16.76458200597547 52.46412818668725, 16.76595516690402 52.47307005986835, 16.78061673683175 52.47223451625027, 16.77924064437787 52.46329283758562))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,3,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59734,"POLYGON ((16.79252043019082 52.4535141699749, 16.77786523491279 52.45435112728732, 16.77924064437787 52.46329283758562, 16.79389877064568 52.46245568624554, 16.79252043019082 52.4535141699749))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,15,54,8,38,39,6,28,4,9,26,4,102.63157894,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
59761,"POLYGON ((16.79665750400582 52.48033862524268, 16.78199351275438 52.4811761641602, 16.78337097119934 52.49011778126818, 16.7980378965362 52.48928004700364, 16.79665750400582 52.48033862524268))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,389,81,257,51,189,200,44,124,21,37,133,30,105.82010582,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
59882,"POLYGON ((16.79389877064568 52.46245568624554, 16.77924064437787 52.46329283758562, 16.78061673683175 52.47223451625027, 16.79527779559584 52.47139717075144, 16.79389877064568 52.46245568624554))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,8,29,4,21,20,5,13,3,3,16,0,95.23809523,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
60019,"POLYGON ((16.79114277366061 52.44457262285785, 16.77649050492532 52.44540938621828, 16.77786523491279 52.45435112728732, 16.79252043019082 52.4535141699749, 16.79114277366061 52.44457262285785))",0.0,0.0,0.0,1.0,1.0,0.0,0.0,151,34,101,16,67,84,14,49,4,20,52,12,125.37313432,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0
60090,"POLYGON ((16.78976579910447 52.43563104398793, 16.77511645834933 52.43646761358245, 16.77649050492532 52.44540938621828, 16.79114277366061 52.44457262285785, 16.78976579910447 52.43563104398793))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,42,215,47,136,168,14,99,23,28,116,24,123.52941176,5.0,0.0,0.0,8.0,3.0,0.0,0.0,5.0,10.0,0.0
60131,"POLYGON ((16.79527779559584 52.47139717075144, 16.78061673683175 52.47223451625027, 16.78199351275438 52.4811761641602, 16.79665750400582 52.48033862524268, 16.79527779559584 52.47139717075144))",1.0,1.0,0.0,3.0,2.0,0.0,1.0,363,53,268,42,179,184,35,130,14,18,138,28,102.79329608,0.0,0.0,1.0,5.0,2.0,15.0,0.0,11.0,12.0,0.0
60258,"POLYGON ((16.80165687469543 52.41690980942318, 16.78701389524447 52.41774779199429, 16.78838950599863 52.42668943338483, 16.80303540992522 52.42585125764033, 16.80165687469543 52.41690980942318))",0.0,0.0,0.0,1.0,1.0,0.0,1.0,886,136,641,109,434,452,66,318,50,70,323,59,104.14746543,0.0,0.0,0.0,11.0,0.0,0.0,4.0,3.0,44.0,0.0
60270,"POLYGON ((16.80027902279491 52.40796833030735, 16.7856389663633 52.40880611893736, 16.78701389524447 52.41774779199429, 16.80165687469543 52.41690980942318, 16.80027902279491 52.40796833030735))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3,0,0,0,3,0,3,0,100.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,10.0,26.0,0.0
