buffer_index,operator,point_id,center,buffer,inpost_points,poczta_points,dhl_points,ruch_points,dpd_points,ups_points,fedex_points,TOT,TOT_0_14,TOT_15_64,TOT_65__,TOT_MALE,TOT_FEM,MALE_0_14,MALE_15_64,MALE_65__,FEM_0_14,FEM_15_64,FEM_65__,FEM_RATIO,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
1492,inpost,10021,POINT (16.88569 52.38615),"POLYGON ((16.89305742239781 52.38614977099179, 16.89299703113898 52.38672478820517, 16.89281665397172 52.38729037095845, 16.89251924832564 52.38783723186032, 16.8921096938244 52.388356390612, 16.89159471240896 52.38883932151957, 16.89098275815552 52.38927809355892, 16.89028387858441 52.38966550068882, 16.88950954972946 52.38999518026659, 16.88867248767233 52.39026171761594, 16.88778643963871 52.39046073502394, 16.88686595809329 52.39058896369995, 16.88592616155442 52.39064429750997, 16.88498248607127 52.39062582759998, 16.88405043146221 52.39053385733738, 16.88314530650121 52.39036989732357, 16.88228197725613 52.39013664056038, 16.88147462273042 52.38983791817979, 16.88073650183749 52.38947863646735, 16.8800797355475 52.3890646962179, 16.87951510779303 52.38860289575304, 16.87905188840717 52.38810081919913, 16.87869768100089 52.38756671186616, 16.87845829827154 52.38700934477971, 16.8783376667796 52.3864378705957, 16.87833776274277 52.38586167326802, 16.87845857988409 52.38529021394052, 16.87869812984246 52.38473287559531, 16.8790524751189 52.38419880900837, 16.87951579399795 52.38369678254004, 16.88008047636078 52.3832350382242, 16.88073724880231 52.3828211565145, 16.88147532698761 52.38246193190344, 16.88228259274004 52.38216326145083, 16.88314579295286 52.38193004804561, 16.88405075706266 52.38176611998369, 16.88498262952291 52.38167416817694, 16.88592611347405 52.38165570201954, 16.88686572162584 52.38171102463342, 16.88778603025159 52.38183922789692, 16.88867193214367 52.38203820733828, 16.88950888439654 52.38230469665027, 16.89028314696684 52.38263432126209, 16.89098200810859 52.38302167009279, 16.89159399299347 52.38346038431306, 16.8921090520975 52.38394326166362, 16.89251872626287 52.38446237462356, 16.89281628572133 52.3850092004942, 16.89299684078835 52.38557476126813, 16.89305742239781 52.38614977099179))",7,8.0,4.0,1.0,1.0,0.0,0.0,6917.5,788.25,4754.75,1374.5,3142.75,3774.75,389.75,2276.0,477.0,398.5,2478.75,897.5,115.93889731499999,25.0,0.0,0.0,0.0,5.0,6.0,7.0,63.0,89.0,0.0
1496,inpost,1995,POINT (16.84249 52.3864),"POLYGON ((16.84985746412026 52.3863997709897, 16.84979707252028 52.38697478820313, 16.84961669433233 52.38754037095649, 16.84931928700271 52.38808723185853, 16.84890973018266 52.38860639061043, 16.84839474585118 52.38908932151823, 16.84778278813231 52.38952809355785, 16.84708390460331 52.38991550068801, 16.84630957136295 52.39024518026604, 16.84547250456496 52.3905117176156, 16.84458645151289 52.39071073502377, 16.84366596475392 52.39083896369989, 16.84272616289204 52.39089429750994, 16.84178248206389 52.39087582759996, 16.84085042217569 52.39078385733727, 16.83994529208816 52.39061989732332, 16.83908195795338 52.39038664055993, 16.83827459885513 52.39008791817911, 16.83753647378196 52.38972863646641, 16.83687970377267 52.38931469621669, 16.8363150728209 52.38885289575158, 16.83585185081223 52.38835081919745, 16.83549764140066 52.3878167118643, 16.83525825731642 52.38725934477771, 16.83513762514216 52.38668787059364, 16.83513772110675 52.38611167326596, 16.8352585389331 52.38554021393852, 16.83549809024882 52.38498287559345, 16.83585243753258 52.38444880900668, 16.8363157590359 52.38394678253858, 16.83688044459683 52.383485038223, 16.83753722075775 52.38307115651356, 16.83827530312267 52.38271193190276, 16.83908257344632 52.38241326145039, 16.83994577854695 52.38218004804536, 16.84085074778093 52.3820161199836, 16.84178262551765 52.38192416817692, 16.84272611481096 52.38190570201954, 16.843665728283 52.38196102463336, 16.84458604211977 52.38208922789675, 16.84547194902814 52.38228820733794, 16.84630890602026 52.38255469664971, 16.84708317297499 52.38288432126129, 16.84778203807437 52.38327167009172, 16.84839402642512 52.38371038431173, 16.84890908844633 52.38419326166204, 16.84931876493226 52.38471237462178, 16.84961632607654 52.38525920049226, 16.84979688216685 52.3858247612661, 16.84985746412026 52.3863997709897))",3,0.0,0.0,0.0,0.0,0.0,0.0,1958.75,266.25,1450.0,242.5,920.25,1038.5,134.75,691.5,94.0,131.5,758.5,148.5,112.6209686925,5.0,0.0,1.0,1.0,9.0,9.0,15.0,11.0,59.0,0.0
1497,inpost,17297,POINT (16.86405 52.38652),"POLYGON ((16.87141748414725 52.38651977098872, 16.87135709238353 52.38709478820216, 16.87117671370564 52.38766037095557, 16.87087930556791 52.38820723185768, 16.87046974763481 52.38872639060968, 16.86995476190362 52.3892093215176, 16.86934280252134 52.38964809355733, 16.86864391709251 52.39003550068762, 16.86786958174714 52.39036518026576, 16.86703251267351 52.39063171761543, 16.86614645721258 52.39083073502369, 16.86522596795106 52.39095896369987, 16.86428616353411 52.39101429750995, 16.86334248014034 52.39099582759995, 16.86241041771812 52.39090385733723, 16.86150528516983 52.3907398973232, 16.86064194868796 52.39050664055972, 16.85983458739488 52.39020791817878, 16.85909646031517 52.38984863646597, 16.85843968852059 52.38943469621613, 16.8578750560341 52.38897289575088, 16.85741183276647 52.38847081919665, 16.85705762239235 52.3879367118634, 16.85681823765775 52.38737934477676, 16.85669760515598 52.38680787059265, 16.85669770112124 52.38623167326497, 16.85681851927642 52.38566021393756, 16.85705807124367 52.38510287559256, 16.85741241949096 52.38456880900588, 16.85787574225394 52.38406678253789, 16.85844042934997 52.38360503822242, 16.85909720729622 52.38319115651311, 16.85983529166738 52.38283193190244, 16.86064256418524 52.38253326145018, 16.86150577163205 52.38230004804524, 16.86241074332566 52.38213611998354, 16.8633426235951 52.3820441681769, 16.86428611545269 52.38202570201953, 16.86522573147847 52.38208102463334, 16.86614604781656 52.38220922789667, 16.86703195713277 52.38240820733778, 16.86786891639976 52.38267469664945, 16.86864318545904 52.3830043212609, 16.86934205245811 52.38339167009121, 16.86995404247249 52.3838303843111, 16.87046910589396 52.38431326166129, 16.87087878349378 52.38483237462093, 16.87117634544725 52.38537920049134, 16.87135690202875 52.38594476126512, 16.87141748414725 52.38651977098872))",1,2.0,0.0,1.0,0.0,0.0,0.0,6986.0,798.5,4828.5,1359.0,3204.0,3782.0,402.5,2300.0,501.5,396.0,2528.5,857.5,116.9717891325,4.0,0.0,1.0,0.0,10.0,0.0,0.0,61.0,46.0,0.0
1498,inpost,26128,POINT (16.88136 52.38655),"POLYGON ((16.88872748915402 52.38654977098847, 16.88866709734936 52.38712478820192, 16.88848671854899 52.38769037095534, 16.88818931020923 52.38823723185747, 16.88777975199788 52.38875639060949, 16.88726476591676 52.38923932151745, 16.88665280611861 52.38967809355721, 16.88595392021483 52.39006550068753, 16.88517958434321 52.3903951802657, 16.88434251470066 52.39066171761539, 16.8834564586375 52.39086073502368, 16.88253596875035 52.39098896369987, 16.88159616369463 52.39104429750996, 16.88065247965945 52.39102582759995, 16.87972041660373 52.39093385733722, 16.87881528344024 52.39076989732317, 16.87795194637159 52.39053664055967, 16.8771445845298 52.3902379181787, 16.87640645694845 52.38987863646586, 16.87574968470755 52.38946469621597, 16.87518505183738 52.38900289575071, 16.87472182825501 52.38850081919644, 16.87436761764025 52.38796671186319, 16.87412823274306 52.38740934477652, 16.87400760015941 52.3868378705924, 16.87400769612484 52.38626167326472, 16.87412851436223 52.38569021393732, 16.87436806649237 52.38513287559233, 16.87472241498053 52.38459880900567, 16.87518573805843 52.38409678253771, 16.87575042553824 52.38363503822229, 16.87640720393083 52.383221156513, 16.87714528880354 52.38286193190235, 16.87795256186996 52.38256326145012, 16.87881576990331 52.38233004804522, 16.87972074221183 52.38216611998352, 16.88065262311446 52.3820741681769, 16.88159611561312 52.38205570201953, 16.88253573227735 52.38211102463332, 16.88345604924077 52.38223922789665, 16.88434195915894 52.38243820733775, 16.88517891899464 52.38270469664938, 16.88595318858006 52.38303432126081, 16.88665205605406 52.38342167009108, 16.88726404648435 52.38386038431093, 16.88777911025589 52.38434326166111, 16.88818878813418 52.38486237462072, 16.88848635028994 52.3854092004911, 16.88866690699425 52.38597476126488, 16.88872748915402 52.38654977098847))",4,8.0,5.0,0.0,0.0,0.0,0.0,6917.5,788.25,4754.75,1374.5,3142.75,3774.75,389.75,2276.0,477.0,398.5,2478.75,897.5,115.93889731499999,14.0,0.0,1.0,0.0,5.0,2.0,7.0,39.0,83.0,0.0
1499,inpost,1303,POINT (16.90893 52.38664),"POLYGON ((16.91629750417438 52.38663977098772, 16.91623711224691 52.38721478820118, 16.91605673307908 52.38778037095464, 16.91575932413323 52.38832723185683, 16.91534976508709 52.38884639060893, 16.91483477795618 52.38932932151697, 16.91422281691046 52.38976809355682, 16.9135239295818 52.39015550068724, 16.9127495921314 52.39048518026549, 16.91191252078212 52.39075171761527, 16.91102646291229 52.39095073502361, 16.91010597114822 52.39107896369985, 16.90916616417618 52.39113429750995, 16.90822247821676 52.39111582759993, 16.90729041326052 52.39102385733717, 16.90638527825143 52.39085989732308, 16.90552193942247 52.3906266405595, 16.90471457593453 52.39032791817846, 16.90397644684827 52.38996863646553, 16.9033196732684 52.38955469621555, 16.90275503924717 52.38909289575019, 16.90229181472057 52.38859081919583, 16.9019376033839 52.38805671186251, 16.90169821799894 52.3874993447758, 16.90157758516965 52.38692787059166, 16.90157768113559 52.38635167326397, 16.90169849961959 52.38578021393661, 16.90193805223839 52.38522287559166, 16.90229240144919 52.38468880900508, 16.90275572547185 52.38418678253718, 16.90332041410299 52.38372503822184, 16.90397719383459 52.38331115651266, 16.904715280212 52.38295193190211, 16.90552255492409 52.38265326144997, 16.90638576471709 52.38242004804511, 16.90729073887035 52.38225611998349, 16.90822262167254 52.3821641681769, 16.90916611609442 52.38214570201953, 16.91010573467397 52.3822010246333, 16.91102605351339 52.38232922789658, 16.91191196523746 52.38252820733761, 16.91274892677933 52.38279469664919, 16.91352319794317 52.38312432126052, 16.91422206684194 52.3835116700907, 16.91483405851997 52.38395038431045, 16.91534912334172 52.38443326166054, 16.91575880205543 52.38495237462008, 16.91605636481809 52.38549920049041, 16.91623692189079 52.38606476126414, 16.91629750417438 52.38663977098772))",2,6.0,7.0,0.0,1.0,0.0,0.0,6590.333333333333,843.6666666666666,4887.0,859.6666666666666,3043.3333333333335,3547.0,424.3333333333333,2344.0,275.0,419.3333333333333,2543.0,584.6666666666666,112.99808779333334,22.0,0.0,0.0,3.0,2.0,88.0,3.0,39.0,68.0,0.0
1502,inpost,17798,POINT (16.84392 52.38678),"POLYGON ((16.85128752753955 52.38677977098657, 16.85122713542103 52.38735478820006, 16.8510467556816 52.38792037095356, 16.85074934579295 52.38846723185583, 16.85033978544824 52.38898639060806, 16.8498247966843 52.38946932151623, 16.8492128336979 52.38990809355622, 16.84851394415276 52.39029550068679, 16.84773960424647 52.39062518026519, 16.84690253024223 52.39089171761508, 16.84601646956201 52.39109073502352, 16.84509597487827 52.39121896369981, 16.84415616492527 52.39127429750995, 16.84321247597258 52.39125582759993, 16.84228040805994 52.39116385733713, 16.84137527017992 52.39099989732295, 16.84051192861265 52.39076664055926, 16.83970456256404 52.39046791817808, 16.83896643113678 52.390108636465, 16.83830965547404 52.38969469621488, 16.83774501966228 52.38923289574937, 16.83728179366687 52.3887308191949, 16.83692758120721 52.38819671186148, 16.83668819506349 52.3876393447747, 16.8365675618521 52.38706787059051, 16.83656765781883 52.38649167326283, 16.83668847668645 52.38592021393549, 16.83692803006539 52.38536287559062, 16.83728238040032 52.38482880900413, 16.83774570589261 52.38432678253638, 16.83831039631473 52.38386503822119, 16.83896717812924 52.38345115651214, 16.83970526684729 52.38309193190174, 16.84051254411934 52.38279326144973, 16.84137575664958 52.38256004804498, 16.84228073367245 52.38239611998343, 16.84321261942954 52.38230416817689, 16.84415611684312 52.38228570201953, 16.84509573840207 52.38234102463328, 16.84601606015974 52.38246922789651, 16.84690197469301 52.38266820733743, 16.84773893888892 52.38293469664887, 16.84851321250811 52.38326432126007, 16.84921208362321 52.38365167009012, 16.84982407724218 52.38409038430971, 16.85033914369759 52.38457326165966, 16.85074882371085 52.38509237461909, 16.85104638741758 52.38563920048933, 16.85122694506335 52.38620476126301, 16.85128752753955 52.38677977098657))",3,0.0,0.0,0.0,0.0,0.0,0.0,1958.75,266.25,1450.0,242.5,920.25,1038.5,134.75,691.5,94.0,131.5,758.5,148.5,112.6209686925,7.0,0.0,1.0,1.0,9.0,11.0,17.0,20.0,68.0,0.0
1506,inpost,25443,POINT (16.89106 52.38777),"POLYGON ((16.89842769277015 52.38776977097838, 16.89836729930063 52.38834478819199, 16.89818691551902 52.38891037094591, 16.89788949896315 52.3894572318488, 16.89747992943542 52.38997639060183, 16.89696492912328 52.39045932151096, 16.89635295241301 52.390898093552, 16.89565404719364 52.39128550068361, 16.89487968992014 52.39161518026298, 16.89404259714099 52.39188171761374, 16.89315651658658 52.39208073502285, 16.89223600125593 52.39220896369959, 16.89129617022257 52.39226429750995, 16.89035246010246 52.39224582759985, 16.8894203712832 52.39215385733672, 16.88851521310089 52.39198989732197, 16.88765185216927 52.3917566405575, 16.88684446801237 52.3914579181754, 16.88610632003036 52.3910986364613, 16.88544952963831 52.39068469621013, 16.88488488116451 52.39022289574362, 16.88442164478218 52.38972081918826, 16.8840674243811 52.38918671185409, 16.88382803287168 52.3886293447668, 16.88370739695819 52.38805787058236, 16.8837074929305 52.38748167325468, 16.88382831451104 52.38691021392761, 16.88406787326539 52.38635287558324, 16.88442223154976 52.38581880899748, 16.88488556743476 52.38531678253063, 16.8854502705221 52.38485503821643, 16.88610706706628 52.38444115650844, 16.88684517233659 52.38408193189906, 16.88765246771175 52.38378326144797, 16.88851569959884 52.383550048044, 16.88942069691464 52.38338611998302, 16.89035260356776 52.3832941681768, 16.89129612213762 52.38327570201952, 16.89223576476598 52.38333102463307, 16.8931561071605 52.38345922789583, 16.89404204155945 52.38365820733608, 16.89487902452389 52.38392469664667, 16.89565331550642 52.38425432125689, 16.8963522022947 52.38464167008588, 16.89696420963931 52.38508038430445, 16.89747928764744 52.38556326165345, 16.89788897685068 52.38608237461206, 16.89818654723359 52.38662920048166, 16.89836710893188 52.38719476125496, 16.89842769277015 52.38776977097838))",8,5.0,4.0,2.0,1.0,0.0,0.0,6917.5,788.25,4754.75,1374.5,3142.75,3774.75,389.75,2276.0,477.0,398.5,2478.75,897.5,115.93889731499999,26.0,0.0,0.0,2.0,5.0,104.0,14.0,79.0,93.0,0.0
1511,inpost,1712,POINT (16.88859 52.38824),"POLYGON ((16.89595777121633 52.38823977097449, 16.8958973771054 52.38881478818817, 16.89571699140469 52.38938037094226, 16.89541957168343 52.38992723184546, 16.89500999779591 52.39044639059887, 16.89449499200106 52.39092932150847, 16.89388300877513 52.39136809354999, 16.89318409611414 52.39175550068209, 16.89240973059525 52.39208518026194, 16.89157262890237 52.3923517176131, 16.89068653891234 52.39255073502252, 16.88976601377921 52.3926789636995, 16.88882617273756 52.39273429750993, 16.88788245256785 52.39271582759982, 16.88695035382279 52.39262385733652, 16.88604518600161 52.3924598973215, 16.88518181587641 52.39222664055666, 16.88437442312228 52.39192791817411, 16.88363626728062 52.39156863645952, 16.88297946989556 52.39115469620787, 16.88241481541024 52.39069289574088, 16.88195157409652 52.39019081918509, 16.88159734992511 52.38965671185058, 16.88135795586824 52.38909934476305, 16.88123731867187 52.38852787057848, 16.88123741464683 52.3879516732508, 16.88135823751536 52.38738021392386, 16.88159779882179 52.38682287557975, 16.8819521608803 52.38628880899433, 16.88241550169943 52.38578678252789, 16.88298021079981 52.38532503821417, 16.88363701433716 52.38491115650668, 16.88437512746596 52.38455193189778, 16.8851824314359 52.38425326144714, 16.886045672513 52.38402004804354, 16.88695067946323 52.38385611998283, 16.88788259603711 52.38376416817676, 16.88882612465128 52.38374570201951, 16.88976577728272 52.38380102463297, 16.89068612947495 52.38392922789551, 16.89157207330549 52.38412820733545, 16.89240906518063 52.38439469664562, 16.89318336440672 52.38472432125537, 16.89388225863611 52.38511167008387, 16.89449427249722 52.38555038430196, 16.8950093559902 52.3860332616505, 16.89541904955655 52.38655237460871, 16.89571662310908 52.38709920047803, 16.89589718673139 52.38766476125113, 16.89595777121633 52.38823977097449))",6,6.0,4.0,2.0,2.0,0.0,0.0,6917.5,788.25,4754.75,1374.5,3142.75,3774.75,389.75,2276.0,477.0,398.5,2478.75,897.5,115.93889731499999,28.0,0.0,0.0,1.0,6.0,104.0,6.0,92.0,92.0,0.0
1514,inpost,25896,POINT (16.8851 52.38826),"POLYGON ((16.89246777455451 52.38825977097433, 16.89240738041628 52.38883478818801, 16.89222699463392 52.38940037094211, 16.89192957477796 52.38994723184531, 16.8915200007049 52.39046639059875, 16.89100499467675 52.39094932150836, 16.89039301117355 52.39138809354991, 16.88969409819589 52.39177550068202, 16.88891973232613 52.39210518026189, 16.88808263025394 52.39237171761307, 16.88719653986238 52.39257073502252, 16.88627601431212 52.3926989636995, 16.88533617284458 52.39275429750993, 16.88439245224722 52.39273582759981, 16.88346035307978 52.39264385733651, 16.88255518484843 52.39247989732147, 16.88169181433201 52.39224664055664, 16.88088442121203 52.39194791817406, 16.88014626503591 52.39158863645946, 16.87948946735328 52.39117469620777, 16.87892481261214 52.39071289574078, 16.87846157108857 52.39021081918496, 16.87810734675672 52.38967671185044, 16.87786795259144 52.3891193447629, 16.87774731534049 52.38854787057832, 16.87774741131556 52.38797167325063, 16.8778682342389 52.38740021392369, 16.87810779565394 52.38684287557959, 16.87846215787304 52.38630880899419, 16.87892549890214 52.38580678252777, 16.8794902082584 52.38534503821408, 16.88014701209334 52.3849311565066, 16.88088512555654 52.38457193189772, 16.88169242989222 52.38427326144709, 16.88255567136039 52.38404004804352, 16.8834606787206 52.38387611998282, 16.88439259571665 52.38378416817677, 16.88533612475824 52.38376570201951, 16.88627577781536 52.38382102463296, 16.88719613042452 52.3839492278955, 16.8880820746564 52.38414820733542, 16.88891906691072 52.38441469664558, 16.88969336648761 52.3847443212553, 16.89039226103364 52.38513167008379, 16.89100427517206 52.38557038430184, 16.89151935889844 52.38605326165037, 16.89192905265046 52.38657237460857, 16.89222662633787 52.38711920047786, 16.89240719004205 52.38768476125097, 16.89246777455451 52.38825977097433))",5,5.0,3.0,1.0,1.0,0.0,0.0,6917.5,788.25,4754.75,1374.5,3142.75,3774.75,389.75,2276.0,477.0,398.5,2478.75,897.5,115.93889731499999,19.0,0.0,0.0,1.0,5.0,9.0,1.0,64.0,79.0,0.0
1523,inpost,25437,POINT (16.87518 52.38919),"POLYGON ((16.88254792978436 52.38918977096664, 16.8824875343769 52.38976478818044, 16.88230714479701 52.39033037093491, 16.88200971867737 52.3908772318387, 16.88160013597711 52.39139639059291, 16.88108511909972 52.39187932150342, 16.88047312270331 52.39231809354593, 16.87977419500011 52.39270550067904, 16.87899981281431 52.39303518025982, 16.87816269310358 52.39330171761181, 16.87727658404074 52.3935007350219, 16.87635603909325 52.39362896369929, 16.87541617782126 52.39368429750991, 16.87447243733766 52.39366582759973, 16.87354031852899 52.39357385733613, 16.87263513122417 52.39340989732056, 16.87177174251543 52.39317664055498, 16.8709643323832 52.39287791817154, 16.87022616065433 52.39251863645598, 16.86956934913389 52.39210469620332, 16.86900468249709 52.39164289573537, 16.86854143121527 52.39114081917872, 16.86818719942267 52.39060671184351, 16.86794780021647 52.39004934475549, 16.86782716042695 52.38947787057066, 16.86782725640727 52.38890167324298, 16.86794808187932 52.38833021391629, 16.86818764834442 52.38777287557267, 16.86854201803181 52.38723880898796, 16.8690053688246 52.38673678252238, 16.86957009007949 52.38627503820962, 16.87022690775258 52.38586115650313, 16.87096503676619 52.38550193189521, 16.87177235810928 52.38520326144545, 16.87263561776271 52.3849700480426, 16.87354064418761 52.38480611998244, 16.87447258081493 52.38471416817669, 16.87541612973229 52.38469570201951, 16.87635580258356 52.38475102463276, 16.8772761745805 52.38487922789488, 16.87816213747568 52.38507820733415, 16.87899914736254 52.38534469664351, 16.87977346325185 52.38567432125232, 16.88047237252242 52.38606167007982, 16.88108439955572 52.3865003842969, 16.88159949413558 52.38698326164453, 16.88200919652134 52.38750237460197, 16.88230677648085 52.38804920047068, 16.88248734399226 52.38861476124341, 16.88254792978436 52.38918977096664))",3,6.0,5.0,2.0,1.0,1.0,0.0,6986.0,798.5,4828.5,1359.0,3204.0,3782.0,402.5,2300.0,501.5,396.0,2528.5,857.5,116.9717891325,16.0,0.0,1.0,0.0,7.0,0.0,0.0,10.0,60.0,0.0
