grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
206436,"POLYGON ((20.85176726655831 52.18687052666358, 20.83728318008206 52.1882049396601, 20.83945985541567 52.19707701680372, 20.85394674013865 52.19574229917577, 20.85176726655831 52.18687052666358))",0.0,0.0,0.0,0.0,1.0,0.0,1.0,4841,696,3586,559,2339,2502,365,1739,235,331,1847,324,106.96879008,4.0,0.0,1.0,2.0,4.0,2.0,8.0,11.0,19.0,0.0
206464,"POLYGON ((20.87799146666601 52.29332742783289, 20.86347370445494 52.29466550882132, 20.86566320398351 52.30353679427472, 20.88018378103267 52.3021984073102, 20.87799146666601 52.29332742783289))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,19,98,20,61,76,10,46,5,9,52,15,124.59016393,3.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0
206476,"POLYGON ((20.85394674013865 52.19574229917577, 20.83945985541567 52.19707701680372, 20.84163759451845 52.20594902779099, 20.85612728028819 52.20461400442348, 20.85394674013865 52.19574229917577))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,269,38,199,32,124,145,23,89,12,15,110,20,116.93548387,14.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,4.0,0.0
206492,"POLYGON ((20.88018378103267 52.3021984073102, 20.86566320398351 52.30353679427472, 20.8678537766864 52.31240801390733, 20.88237716995884 52.31106932077907, 20.88018378103267 52.3021984073102))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
206505,"POLYGON ((20.87580022757719 52.28445638326996, 20.86128527874422 52.28579415667235, 20.86347370445494 52.29466550882132, 20.87799146666601 52.29332742783289, 20.87580022757719 52.28445638326996))",0.0,0.0,0.0,0.0,1.0,0.0,0.0,386,63,276,47,180,206,26,137,17,37,139,30,114.44444444,0.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,1.0,0.0
206602,"POLYGON ((20.88237716995884 52.31106932077907, 20.8678537766864 52.31240801390733, 20.87004542334874 52.32127916767192, 20.8845716342306 52.31994016819216, 20.88237716995884 52.31106932077907))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,86,11,62,13,41,45,7,28,6,4,34,7,109.75609756,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0,9.0,0.0
206819,"POLYGON ((20.86704599459008 52.24897154273242, 20.85254228709842 52.25030809213487, 20.85472642961727 52.25917970693052, 20.86923294499641 52.25784285158997, 20.86704599459008 52.24897154273242))",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1164,228,852,84,564,600,120,404,40,108,448,44,106.38297872,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0
207002,"POLYGON ((20.85612728028819 52.20461400442348, 20.84163759451845 52.20594902779099, 20.84381639963015 52.2148209725523, 20.85830888639662 52.21348564418059, 20.85612728028819 52.20461400442348))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,13,65,18,42,54,7,28,7,6,37,11,128.57142857,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0
207028,"POLYGON ((20.88812139418488 52.27424603349116, 20.87361006143941 52.27558527189428, 20.87580022757719 52.28445638326996, 20.89031437167662 52.28311683782704, 20.88812139418488 52.27424603349116))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0
207040,"POLYGON ((20.87280057384098 52.21214854808392, 20.85830888639662 52.21348564418059, 20.86049156070564 52.22235721837721, 20.87498605131241 52.22101981652778, 20.87280057384098 52.21214854808392))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,13,72,16,54,47,10,36,8,3,36,8,87.03703703,1.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,22.0,0.0
207078,"POLYGON ((20.8968997564966 52.30972885488806, 20.88237716995884 52.31106932077907, 20.8845716342306 52.31994016819216, 20.89909703765856 52.31859939451008, 20.8968997564966 52.30972885488806))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,11,53,11,28,47,3,22,4,9,31,7,167.85714285,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0
207094,"POLYGON ((20.86843282681146 52.19440581310215, 20.85394674013865 52.19574229917577, 20.85612728028819 52.20461400442348, 20.87061616594652 52.20327721389263, 20.86843282681146 52.19440581310215))",1.0,0.0,0.0,2.0,1.0,0.0,0.0,5917,1245,3876,796,2740,3177,614,1790,336,631,2086,460,115.9489051,7.0,1.0,3.0,11.0,8.0,0.0,17.0,60.0,49.0,0.0
