buffer_index,operator,center,buffer,poczta_points,dhl_points,ruch_points,dpd_points,ups_points,fedex_points,TOT,TOT_0_14,TOT_15_64,TOT_65__,TOT_MALE,TOT_FEM,MALE_0_14,MALE_15_64,MALE_65__,FEM_0_14,FEM_15_64,FEM_65__,FEM_RATIO,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
2494,inpost,POINT (18.17881 51.85185),"POLYGON ((18.18608963414273 51.85184977535621, 18.18602996069786 51.85242479249835, 18.18585173118199 51.85299037504227, 18.18555786789439 51.85353723561041, 18.18515319240918 51.8540563939258, 18.1846443466442 51.85453932432302, 18.18403968398701 51.85497809581139, 18.18334913225327 51.85536550238571, 18.18258403072009 51.85569518143964, 18.18175694390687 51.85596171833117, 18.18088145516335 51.85616073537733, 18.17997194346089 51.85628896381113, 18.17904334706304 51.85634429751444, 18.17811091797098 51.85632582764022, 18.17718997119338 51.85623385755352, 18.17629563297667 51.85606989784424, 18.17544259214947 51.85583664149426, 18.17464485868249 51.85553791960857, 18.17391553344479 51.85517863844032, 18.17326659294996 51.85476469874872, 18.17270869263591 51.85430289881892, 18.17225099191256 51.85380082274224, 18.17190100384958 51.85326671579748, 18.1716644719667 51.85270934898483, 18.17154527613959 51.85213787494227, 18.17154536915222 51.85156167761448, 18.17166474492061 51.85099021814531, 18.17190143889076 51.85043287952615, 18.17225156058487 51.84989881255086, 18.17270935774233 51.84939678560524, 18.1732673109857 51.84893504075436, 18.17391625744293 51.84852115848688, 18.17464554128613 51.84816193333176, 18.1754431887093 51.84786326238441, 18.17629610447155 51.84763004856608, 18.17719028678271 51.84746612019975, 18.17811105701197 51.84737416821716, 18.17904330046097 51.84735570202401, 18.17997171426403 51.84741102474455, 18.18088105836352 51.84753922825018, 18.18175640545886 51.84773820805326, 18.18258338584393 51.84800469782292, 18.18334842313049 51.84833432295846, 18.18403895700152 51.84872167234465, 18.18464364934833 51.84916038711584, 18.18515257041323 51.84964326497675, 18.1855573618833 51.85016237837309, 18.18585137425407 51.8507092045776, 18.18602977619987 51.85127476556109, 18.18608963414273 51.85184977535621))",0.0,0.0,0.0,0.0,0.0,0.0,156.25,24.5,115.75,16.0,74.25,82.0,11.25,57.75,5.25,13.25,58.0,10.75,109.1602245025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,inpost,POINT (14.44149 53.92722),"POLYGON ((14.44912674094946 53.92721975778738, 14.44906414775681 53.92779477521635, 14.44887718215962 53.92836035860296, 14.44856890934952 53.92890722051453, 14.44814438702559 53.92942638058624, 14.4476105826175 53.9299093130378, 14.44697625909095 53.9303480867441, 14.4462518311967 53.9307354955549, 14.44544919451465 53.93106517671751, 14.44458153009656 53.93133171545198, 14.44366308791715 53.93153073395474, 14.44270895269699 53.93165896336352, 14.44173479595501 53.93171429749638, 14.44075661837862 53.93169582747818, 14.43979048676175 53.93160385668342, 14.43885226985183 53.93143989574827, 14.43795737746525 53.93120663773487, 14.4371205071759 53.93090791385701, 14.43635540275465 53.93054863049819, 14.43567462834111 53.93013468856094, 14.43508936206592 53.92967288647731, 14.43460921251708 53.92917080847955, 14.43424206106341 53.92863669997208, 14.43399393261766 53.92807933205731, 14.43386889695004 53.92750785744532, 14.43386900215658 53.926931660118, 14.43399424135571 53.92636020121913, 14.43424255313833 53.9258028637028, 14.43460985574212 53.92526879829073, 14.43509011436755 53.92476677326643, 14.43567544051107 53.92430503056932, 14.43635622166869 53.92389115054718, 14.43712127926862 53.92353192758214, 14.43795805223386 53.92323325862639, 14.43885280315952 53.92300004647093, 14.43979084372472 53.92283611932999, 14.44075677564783 53.9227441680552, 14.44173474324343 53.92272570200597, 14.44270869345251 53.92278102429713, 14.44366263909701 53.92290922682815, 14.44458092105821 53.92310820517515, 14.44544846509546 53.92337469310247, 14.44625102910818 53.92370431612985, 14.44697543679794 53.92409166327997, 14.4476097939064 53.92453037583341, 14.4481436834862 53.92501325163992, 14.44856833700056 53.92553236327957, 14.44887677843859 53.92607918814003, 14.44906393907119 53.92664474828, 14.44912674094946 53.92721975778738))",0.0,0.0,0.0,0.0,0.0,0.0,1545.6666666666667,191.0,1138.6666666666667,216.0,723.3333333333334,822.3333333333334,93.0,549.0,81.33333333333333,98.0,589.6666666666666,134.66666666666666,111.83387155999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2498,inpost,POINT (20.95456 52.20284),"POLYGON ((20.96189699400729 52.20283977250097, 20.96183685154739 52.20341478968972, 20.96165721877691 52.2039803723706, 20.96136104094912 52.20452723315707, 20.96095317756722 52.20504639175789, 20.96044032283542 52.20552932248899, 20.95983089593019 52.20596809433781, 20.95913490288094 52.2063555012756, 20.95836377232005 52.20668518067222, 20.95753016779593 52.20695171786327, 20.95664777973291 52.20715073514614, 20.95573110046079 52.2072789637384, 20.95479518601938 52.20733429751151, 20.95385540866453 52.2073158276139, 20.95292720415729 52.20722385741212, 20.95202581800533 52.20705989750363, 20.95116605484321 52.20682664088331, 20.95036203508559 52.20652791867384, 20.94962696286585 52.2061686371496, 20.94897290908383 52.20575469709303, 20.94841061313443 52.2052928968132, 20.9479493065769 52.20479082042432, 20.9475965616397 52.20425671322559, 20.9473581670426 52.20369934623381, 20.9472380331648 52.20312787209871, 20.94723812810184 52.20255167477099, 20.94735844564385 52.20198021539449, 20.94759700568179 52.20142287695455, 20.94794988701491 52.20088881023332, 20.94841129200175 52.20038678359996, 20.94897364197558 52.19992503909911, 20.94962770184336 52.19951115719653, 20.95036273181215 52.19915193239735, 20.95116666374573 52.19885326177366, 20.95202629925534 52.19862004822558, 20.9529275262761 52.19845612005841, 20.95385555058225 52.19836416819085, 20.95479513845313 52.19834570202109, 20.9557308665219 52.19840102467185, 20.95664737472339 52.19852922801908, 20.95752961820755 52.19872820758552, 20.95836311410155 52.19899469705577, 20.95913417908657 52.19932432184869, 20.95983015390354 52.19971167087146, 20.96043961111265 52.20015038528224, 20.96095254270232 52.20063326280927, 20.96136052446877 52.20115237592012, 20.96165685446423 52.20169920190621, 20.96183666323217 52.2022647627526, 20.96189699400729 52.20283977250097))",1.0,0.0,0.0,0.0,0.0,0.0,8293.75,1065.0,5639.5,1589.25,3797.5,4496.25,545.0,2689.25,563.25,520.0,2950.25,1026.0,115.079415035,0.0,0.0,3.0,48.0,5.0,2.0,1.0,31.0,20.0,1.0
2499,inpost,POINT (15.073679 54.09444300000001),"POLYGON ((15.08134649249089 54.09444275629603, 15.08128364789376 54.09501777374934, 15.08109593002856 54.09558335720748, 15.08078641639035 54.09613021923309, 15.08036018501038 54.09664937945389, 15.07982423134817 54.09713231207983, 15.07918735363877 54.09757108597442, 15.07846000856412 54.09795849497505, 15.0776541396092 54.09828817631667, 15.07678298091776 54.09855471520758, 15.0758608398705 54.09875373383399, 15.07490286196338 54.09888196332553, 15.07392478185955 54.09893729749486, 15.0729426647196 54.09891882746444, 15.07197264207752 54.09882685660956, 15.07103064662122 54.09866289557036, 15.07013215025484 54.09842963741575, 15.06929190976488 54.09813091336878, 15.06852372428516 54.09777162982401, 15.06784020855789 54.09735768769614, 15.06725258572428 54.09689588542967, 15.06677050305199 54.09639380726884, 15.06640187362434 54.09585969862872, 15.06615274658458 54.09530233062039, 15.06602720805392 54.09473085596008, 15.0660273143345 54.09415465863278, 15.06615305847448 54.09358319978234, 15.06640237072276 54.09302586235962, 15.06677115284358 54.09249179708024, 15.06725334570601 54.09198977221904, 15.06784102901914 54.09152802970475, 15.06852455155933 54.09111414987321, 15.06929268973975 54.09075492709409, 15.07013283191202 54.09045625830739, 15.07103118537335 54.09022304629308, 15.07197300268466 54.09005911925617, 15.07294282359434 54.08996716804145, 15.07392472860985 54.08994870200444, 15.07490260007231 54.09000402425916, 15.07586038646844 54.09013222670745, 15.07678236566186 54.09033120493085, 15.07765340274352 54.09059769270178, 15.07845919828724 54.09092731555021, 15.07918652295112 54.09131466251052, 15.07982343458527 54.09175337487569, 15.08035947428871 54.09223625050782, 15.08078583819839 54.09275536199834, 15.08109552218601 54.09330218674472, 15.08128343707772 54.09386774681309, 15.08134649249089 54.09444275629603))",2.0,0.0,0.0,0.0,0.0,0.0,220.25,36.25,160.5,23.5,101.25,119.0,17.75,77.5,6.0,18.5,83.0,17.5,87.606060605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,inpost,POINT (18.94084 50.91234),"POLYGON ((18.94797171499726 50.91233978278487, 18.94791325110337 50.91291479980571, 18.94773864034395 50.9134803819933, 18.94745074582112 50.91402724199339, 18.94705429129461 50.91454639956615, 18.94655578384425 50.91502932909475, 18.94596340720008 50.91546809964529, 18.9452868874802 50.91585550527396, 18.94453733353344 50.91618518343628, 18.94372705450531 50.91645171954858, 18.94286935762476 50.91665073597883, 18.94197832953828 50.91677896400039, 18.94106860479246 50.91683429752207, 18.94015512528058 50.91681582770873, 18.93925289461991 50.91672385792143, 18.93837673151068 50.91655989873048, 18.93754102614537 50.91632664308385, 18.93675950368536 50.91602792204049, 18.93604499870431 50.91566864179848, 18.93540924431422 50.91525470305641, 18.93486267944527 50.9147929040373, 18.93441427744816 50.91429082877293, 18.93407139883234 50.91375672248893, 18.93383967055328 50.91319935614229, 18.93372289382098 50.91262788234052, 18.93372298193033 50.91205168501255, 18.93383992911808 50.91148022530223, 18.93407181093979 50.91092288621677, 18.9344148161422 50.91038881858052, 18.93486330948978 50.9098867908225, 18.9354099244978 50.90942504506095, 18.936045684536 50.90901116184405, 18.9367601503047 50.9086519357629, 18.93754159125681 50.90835326397342, 18.93837717815013 50.90812004945198, 18.93925319357255 50.90795612056751, 18.94015525699185 50.90786416828564, 18.94106856064708 50.90784570203164, 18.94197811242382 50.90790102493374, 18.94286898174273 50.90802922885145, 18.94372654444226 50.90822820927022, 18.94453672265273 50.9084946998189, 18.94528621573972 50.90882432584582, 18.94596271853854 50.90921167617749, 18.9465551233072 50.90965039188642, 18.94705370208796 50.91013327061602, 18.94745026648503 50.91065238475513, 18.94773830223194 50.91119921152796, 18.94791307633142 50.91176477286809, 18.94797171499726 50.91233978278487))",0.0,0.0,0.0,0.0,0.0,0.0,2073.5,271.75,1466.0,335.75,980.25,1093.25,140.0,721.5,118.75,131.75,744.5,217.0,110.81320414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2501,inpost,POINT (20.83182 51.05002),"POLYGON ((20.83897289499708 51.05001978171515, 20.83891425790685 51.05059479875345, 20.83873912898614 51.05116038099236, 20.8384503798136 51.05170724107425, 20.83805274815493 51.05222639875394, 20.83755276039711 51.05270932840762, 20.83695862456297 51.05314809909321, 20.83628009565101 51.05353550485806, 20.83552831550417 51.05386518314877, 20.83471562983393 51.05413171937327, 20.83385538540577 51.05433073589222, 20.83296171072281 51.05445896397314, 20.83204928381948 51.05451429752096, 20.83113309099193 51.05449582769887, 20.83022818044408 51.05440385786846, 20.82934941491225 51.05423989860285, 20.82851122734925 51.05400664285494, 20.82772738369704 51.05370792169029, 20.82701075665896 51.0533486413149, 20.82637311419873 51.05293470243611, 20.8258249262475 51.05247290328586, 20.82537519279719 51.05197082790453, 20.82503129620196 51.05143672152538, 20.82479888010795 51.05087935511163, 20.8246817569893 51.05030788127518, 20.82468184579552 51.04973168394724, 20.82479914071779 51.04916022427164, 20.82503171156884 51.04860288525332, 20.82537573575185 51.04806881771224, 20.82582556127514 51.04756679007122, 20.82637379976201 51.0471050444408, 20.82701144791501 51.04669116136061, 20.82772803543059 51.04633193541282, 20.82851179693025 51.0460332637446, 20.82934986508425 51.04580004932442, 20.83022848176119 51.04563612051455, 20.83113322374493 51.04554416827578, 20.83204923932495 51.04552570203055, 20.83296149189116 51.0455810249065, 20.83385500655082 51.04570922876486, 20.83471511573671 51.04590820909497, 20.83552769979191 51.04617469953148, 20.83627941859761 51.04650432543004, 20.83695793045469 51.04689167562556, 20.83755209463576 51.04733039119947, 20.83805215428814 51.04781326980396, 20.83844989668637 51.04833238383612, 20.83873878819994 51.04887921052711, 20.8389140817526 51.04944477181588, 20.83897289499708 51.05001978171515))",0.0,0.0,0.0,0.0,0.0,0.0,1036.3333333333333,128.33333333333334,772.3333333333334,135.66666666666666,510.3333333333333,526.0,65.33333333333333,390.6666666666667,54.333333333333336,63.0,381.6666666666667,81.33333333333333,102.63479458666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2504,inpost,POINT (22.33545 50.33222),"POLYGON ((22.34249427561494 50.33221978722366, 22.34243652676183 50.33279480417202, 22.34226405519325 50.33336038614672, 22.34197968901569 50.33390724580737, 22.34158809416586 50.33442640293638, 22.34109569801518 50.33490933194595, 22.34051058400308 50.33534810193613, 22.33984235901785 50.33573550699976, 22.33910199569559 50.33606518462933, 22.33830165222365 50.33633172027599, 22.33745447260931 50.33653073633824, 22.33657437069914 50.33665896411348, 22.33567580150601 50.33671429752662, 22.33477352361181 50.33669582774966, 22.33388235656373 50.33660385814125, 22.33301693726482 50.33643989926001, 22.33219147937708 50.33620664403364, 22.33141953970443 50.3359079234936, 22.33071379540662 50.33554864380505, 22.33008583571436 50.33513470563034, 22.32954597157364 50.33467290715539, 22.32910306634928 50.3341708323764, 22.32876439036655 50.33363672648724, 22.32853550167444 50.33307936041904, 22.3284201549791 50.33250788676115, 22.32842024022973 50.33193168943307, 22.32853575185008 50.33136022957866, 22.32876478910312 50.33080289021457, 22.32910358756532 50.33026882218338, 22.32954658117627 50.32976679393995, 22.33008649382931 50.32930504763424, 22.33071445898641 50.32889116385005, 22.33142016534411 50.32853193721557, 22.3321920261534 50.3282332649229, 22.33301736941299 50.32800004998133, 22.33388264581681 50.32783612078725, 22.33477365104969 50.32774416832656, 22.33567575879293 50.3277257020362, 22.33657416062899 50.32778102504678, 22.33745410892282 50.32790922921073, 22.33830115870966 50.32810820999738, 22.33910140463498 50.32837470101153, 22.33984170907208 50.32870432757109, 22.34050991768526 50.32909167846771, 22.34109505890935 50.32953039473697, 22.34158752407609 50.33001327398561, 22.34197922523173 50.33053238856856, 22.34226372805133 50.33107921568095, 22.34243635766038 50.33164477723418, 22.34249427561494 50.33221978722366))",0.0,0.0,0.0,0.0,0.0,0.0,829.5,139.25,565.5,124.75,396.5,433.0,71.0,278.25,47.25,68.25,287.25,77.5,109.61153487250002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2510,inpost,POINT (21.05718 52.32034),"POLYGON ((21.06453646065741 52.32033977153503, 21.06447615902726 52.32091478873955, 21.06429605002641 52.32148037146676, 21.06399908669802 52.3220272323271, 21.0635901414174 52.32254639102449, 21.06307592613348 52.32302932186852, 21.0624648823499 52.32346809383929, 21.06176704264006 52.32385550090003, 21.06099386596151 52.3241851804126, 21.06015804947097 52.32445171770496, 21.05927331993158 52.32465073506792, 21.05835420814459 52.32477896371379, 21.05741581012061 52.32483429751051, 21.05647353892742 52.32481582760498, 21.0555428713069 52.32472385736428, 21.05463909324149 52.32455989738838, 21.05377704866784 52.32432664067662, 21.05297089548296 52.32402791835762, 21.0522338728659 52.32366863671294, 21.05157808374912 52.32325469653291, 21.05101429602061 52.32279289613465, 21.05055176572545 52.32229081964015, 21.05019808516916 52.32175671235549, 21.04995905841125 52.32119934530313, 21.04983860618296 52.32062787113672, 21.04983870177605 52.32005167380903, 21.04995933893774 52.31948021446389, 21.05019853227975 52.31892287608459, 21.05055235017451 52.3183888094493, 21.05101497957916 52.31788678292156, 21.05157882170542 52.31742503853913, 21.05223461695003 52.31701115676, 21.05297159702417 52.31665193208123, 21.05377766177811 52.31635326156703, 21.05463957781712 52.31612004811038, 21.05554319565167 52.31595612001058, 21.05647368182584 52.31586416818195, 21.05741576222566 52.31584570202009, 21.05835397258909 52.31590102464724, 21.05927291212328 52.31602922794089, 21.06015749608472 52.31622820742728, 21.06099320319447 52.31649469679623, 21.06176631384399 52.31682432147324, 21.06246413519556 52.31721167037308, 21.06307520949243 52.31765038466193, 21.06358950216534 52.318133262076, 21.06399856664859 52.31865237509027, 21.0642956831962 52.31919920100246, 21.06447596941072 52.31976476180249, 21.06453646065741 52.32033977153503))",2.0,0.0,0.0,3.0,0.0,0.0,2456.25,651.0,1728.5,76.75,1160.75,1295.5,337.0,795.75,28.0,314.0,932.75,48.75,111.00634627,2.0,0.0,0.0,1.0,10.0,0.0,0.0,42.0,13.0,0.0
2511,inpost,POINT (20.6139828 52.197525),"POLYGON ((20.62131891661591 52.19752477254453, 20.62125878133008 52.19809978973258, 20.62107917002406 52.19866537241136, 20.6207830276 52.19921223319451, 20.62037521298094 52.19973139179097, 20.6198624195713 52.20021432251697, 20.61925306554123 52.20065309436028, 20.61855715572376 52.20104050129252, 20.61778611738448 52.20137018068393, 20.61695261255701 52.20163671787041, 20.61607033002786 52.20183573514967, 20.61515376039283 52.20196396373949, 20.6142179578902 52.20201929751154, 20.61327829293639 52.20200082761429, 20.61235019944536 52.20190885741428, 20.61144892110053 52.20174489750881, 20.61058926076505 52.20151164089263, 20.60978533716422 52.20121291868811, 20.60905035285183 52.20085363716929, 20.60839637728397 52.2004396971183, 20.60783414857132 52.1999778968438, 20.60737289716951 52.19947582045968, 20.60702019440211 52.19894171326483, 20.60678182829748 52.19838434627578, 20.60666170876826 52.1978128721421, 20.60666180367576 52.19723667481438, 20.60678210681207 52.19666521543648, 20.60702063830606 52.19610787699381, 20.60737347742696 52.19557381026869, 20.60783482722746 52.19507178363056, 20.60839710994772 52.19461003912437, 20.60905109159944 52.19419615721622, 20.60978603367402 52.1938369324116, 20.61058986947815 52.19353826178298, 20.61144940220083 52.19330504823077, 20.61235052146396 52.19314112006055, 20.61327843480996 52.19304916819125, 20.61421791033875 52.19303070202113, 20.61515352652671 52.19308602467296, 20.61606992514432 52.19321422802259, 20.6169520631396 52.19341320759265, 20.61778545937074 52.19367969706748, 20.61855643215456 52.19400932186561, 20.61925232374541 52.19439667089394, 20.61986170806994 52.19483538531021, 20.62037457831354 52.19531826284234, 20.62078251128032 52.19583737595755, 20.62107880582472 52.19638420194697, 20.62125859307345 52.19694976279546, 20.62131891661591 52.19752477254453))",2.0,0.0,0.0,0.0,0.0,0.0,2299.5,325.0,1582.75,391.75,1073.75,1225.75,165.75,767.25,140.75,159.25,815.5,251.0,112.9170065725,80.0,0.0,2.0,1.0,7.0,0.0,11.0,10.0,67.0,0.0
2517,inpost,POINT (21.04975 52.3214),"POLYGON ((21.05710663688255 52.32139977152628, 21.05704633381149 52.32197478873094, 21.05686622049949 52.32254037145857, 21.05656925006022 52.32308723231957, 21.05616029498554 52.32360639101783, 21.05564606738499 52.3240893218629, 21.05503500896435 52.32452809383476, 21.05433715253731 52.32491550089662, 21.05356395733593 52.32524518041023, 21.05272812082118 52.32551171770353, 21.05184337008518 52.3257107350672, 21.05092423627743 52.32583896371355, 21.0499858157704 52.32589429751049, 21.0490435220013 52.32587582760489, 21.04811283208303 52.32578385736383, 21.04720903236441 52.32561989738731, 21.0463469671379 52.32538664067473, 21.04554079463981 52.32508791835475, 21.04480375436644 52.32472863670897, 21.04414794954025 52.32431469652784, 21.04358414830716 52.3238528961285, 21.04312160693391 52.32335081963304, 21.04276791790778 52.32281671234762, 21.04252888542713 52.3222593452947, 21.04240843031693 52.32168787112801, 21.04240852591596 52.32111167380032, 21.04252916597108 52.32054021445546, 21.04276836504618 52.31998287607671, 21.04312219141933 52.3194488094422, 21.04358483190823 52.31894678291543, 21.04414868754246 52.31848503853405, 21.04480449849685 52.31807115675604, 21.04554149622465 52.31771193207836, 21.04634758028631 52.31741326156516, 21.04720951697018 52.31718004810934, 21.04811315644797 52.31701612001014, 21.04904366490861 52.31692416818184, 21.04998576787247 52.31690570202008, 21.05092400070728 52.31696102464701, 21.05184296225152 52.31708922794017, 21.05272756740051 52.31728820742583, 21.05356329452766 52.31755469679387, 21.0543364236959 52.31788432146984, 21.05503426176354 52.31827167036857, 21.05564535069937 52.31871038465629, 21.05615965569372 52.31919326206936, 21.05656872997845 52.31971237508275, 21.05686585364646 52.32025920099429, 21.05704614418315 52.32082476179388, 21.05710663688255 52.32139977152628))",0.0,0.0,0.0,3.0,0.0,0.0,2197.75,612.5,1526.0,59.25,1040.75,1157.0,317.25,700.0,23.5,295.25,826.0,35.75,106.2214314375,5.0,0.0,0.0,2.0,5.0,0.0,0.0,27.0,7.0,0.0
