operator,geometry
dpd,POINT (21.07175 51.25025)
dpd,POINT (19.21618 50.04798)
dpd,POINT (19.05479 52.64391999999999)
dpd,POINT (20.55887 52.94741999999999)
dpd,POINT (17.05318 54.46049)
dpd,POINT (19.03707 52.66911999999999)
dpd,POINT (18.03486 52.70791)
dpd,POINT (16.98199 51.1229)
dpd,POINT (19.02072 49.80603)
dpd,POINT (20.69969 49.61681)
dpd,POINT (21.01209 52.08385)
dpd,POINT (18.26703 54.60716)
dpd,POINT (17.0621 54.45778000000001)
dpd,POINT (19.92979 50.07366)
dpd,POINT (21.11664 52.27873)
dpd,POINT (16.81124 50.59039)
dpd,POINT (17.7413 54.53657)
dpd,POINT (18.9749 50.25952)
dpd,POINT (19.06606 50.3068)
dpd,POINT (15.06251 51.02520999999999)
dpd,POINT (17.42216 54.13655)
dpd,POINT (19.09061 52.64621)
dpd,POINT (19.71972 51.49268)
dpd,POINT (22.24937 52.99105)
dpd,POINT (19.40218 50.17334)
dpd,POINT (16.90681 52.44562)
dpd,POINT (19.52744 54.32388)
dpd,POINT (19.52749 54.3154)
dpd,POINT (17.03177 51.11219000000001)
dpd,POINT (19.91794 50.06788)
dpd,POINT (20.64698 50.87019)
dpd,POINT (18.5382 50.09767)
dpd,POINT (19.33174 50.15595)
dpd,POINT (19.92051 50.01332)
dpd,POINT (19.00164 49.91269)
dpd,POINT (21.28027 52.36449)
dpd,POINT (19.96825 50.10162)
dpd,POINT (15.39274 51.25247)
dpd,POINT (21.01359 52.36792)
dpd,POINT (19.31775 51.74816)
dpd,POINT (20.93943 52.28566)
dpd,POINT (21.15213 51.40405)
dpd,POINT (21.03701 52.15322)
dpd,POINT (17.60335 53.118)
dpd,POINT (20.29401 51.29821)
dpd,POINT (18.04872 51.01977)
dpd,POINT (18.2091 51.11295)
dpd,POINT (20.60503 49.96550999999999)
dpd,POINT (20.44731 52.05889000000001)
dpd,POINT (23.16303 52.02403)
dpd,POINT (18.40675 50.07293)
dpd,POINT (20.99737 52.1702)
dpd,POINT (15.23323 52.72294)
dpd,POINT (15.53121 52.72475)
dpd,POINT (17.30604 52.94051999999999)
dpd,POINT (16.47418 53.27554)
dpd,POINT (16.47568 53.27334)
dpd,POINT (18.96884 50.27970999999999)
dpd,POINT (23.26448 50.72111)
dpd,POINT (23.7037 50.61184)
dpd,POINT (20.6252 50.8459)
dpd,POINT (20.69533 52.21224)
dpd,POINT (19.48154 52.06942)
dpd,POINT (18.54222 54.50303)
dpd,POINT (22.33507 49.4673)
dpd,POINT (20.35163 53.12723)
dpd,POINT (23.10203 52.04633)
dpd,POINT (21.84492 50.65822)
dpd,POINT (19.03806 49.81893)
dpd,POINT (16.327 50.8098)
dpd,POINT (17.97644 54.1229)
dpd,POINT (15.81324 53.52908000000001)
dpd,POINT (14.44425 53.41318)
dpd,POINT (15.69369 50.93767)
dpd,POINT (17.8711 50.6729)
dpd,POINT (23.48435 51.14783)
dpd,POINT (19.911 50.0236)
dpd,POINT (19.97025 50.07757)
dpd,POINT (19.22177 50.03623)
dpd,POINT (18.92001 50.35015)
dpd,POINT (23.18319 50.97325)
dpd,POINT (17.3839 50.699)
dpd,POINT (18.17271 53.70802)
dpd,POINT (18.09755 51.73055)
dpd,POINT (16.65245 50.7305)
dpd,POINT (21.08266 52.27519)
dpd,POINT (21.04017 52.25351)
dpd,POINT (18.6442 54.2612)
dpd,POINT (18.08751 51.76195999999999)
dpd,POINT (18.10698 51.77776)
